1186	Sodium Phosphate, Dibasic, Unspecified Form
1187	Sodium Phosphate, Monobasic, Unspecified Form
1188	Sofosbuvir
1189	Solifenacin
1190	Solriamfetol
1191	Sonidegib
1192	Sorafenib
1193	Sotagliflozin
1194	Sotalol
1195	Sotorasib
1196	Spaglumic Acid
1197	Sparsentan
1198	Spinosad
1199	Spiramycin
1200	Spirapril
1201	Spironolactone
1202	Stavudine
1203	Stiripentol
1204	Streptokinase
1205	Strontium Ranelate
1206	Succimer
1207	Sucralfate
1208	Sufentanil
1209	Sulfadoxine
1210	Sulfamethizole
1211	Sulfasalazine
1212	Sulfinpyr
1213	Sulindac
1214	Sulodexide
1215	Sulopenem Etzadroxil
1216	Sulpiride
1217	Sulthiame
1218	Sumatriptan
1219	Sunitinib
1220	Suvorexant
1221	Synthetic Conjugated Estrogens1201,Spironolactone,pharmaceutical,
1222,Synthetic Conjugated Estrogens
1222	Tacrine
1223	Tacrolimus
1224	Tadalafil
1225	Tafamidis
1226	Tafenoquine
1227	Talazoparib
1228	Taliglucerase Alfa
1229	Tamoxifen
1230	Tamsulosin
1231	Tapentadol
1232	Tasimelteon
1233	Tazemetostat
1234	Technetium Tc-99M Disofenin
1235	Technetium Tc-99M Mebrofenin
1236	Technetium Tc-99M Medronate
1237	Technetium Tc-99M Sulfur Colloid
1238	Tecovirimat
1239	Tedizolid Phosphate
1240	Tegafur
1241	Tegaserod
1242	Telaprevir
1243	Telbivudine
1244	Telithromycin
1245	Telmisartan
1246	Telotristat Ethyl
1247	Temazepam
1248	Temozolomide
1249	Temsirolimus
1250	Tenapanor
1251	Tenecteplase
1252	Teniposide
1253	Tenofovir
1254	Tenofovir Alafenamide
1255	Tenofovir Disoproxil
1256	Tenoxicam
1257	Tepotinib
1258	Terazosin
1259	Terbinafine
1260	Terfenadine
1261	Teriflunomide
1262	Teriparatide
1263	Testosterone Undecanoate
1264	Tetrabenazine
1265	Tetracycline
1266	Tetraferric Tricitrate Decahydrate
1267	Tetrofosmin
1268	Tezacaftor
1269	Thalidomide
1270	Theophylline
1271	Thiethylperazine
1272	Thiopental
1273	Thioproperazine
1274	Thioridazine
1275	Thiotepa
1276	Thiothixene
1277	Tiagabine
1278	Tianeptine
1279	Tiaprofenic Acid
1280	Tibolone
1281	Ticagrelor
1282	Ticlopidine
1283	Tilactase
1284	Tiludronic Acid
1285	Tinidazole
1286	Tinzaparin
1287	Tioclomarol
1288	Tioguanine
1289	Tiopronin
1290	Tiotropium
1291	Tipiracil
1292	Tipranavir
1293	Tirzepatide
1294	Tivozanib
1295	Tizanidine
1296	Tocopherylquinone
1297	Tofacitinib
1298	Tolazamide
1299	Tolbutamide
1300	Tolcapone
1301	Tolevamer
1302	Tolmetin
1303	Tolterodine
1304	Tolvaptan
1305	Topiramate
1306	Topotecan
1307	Torasemide
1308	Toremifene
1309	Tovorafenib
1310	Trabectedin
1311	Tramadol
1312	Trametinib
1313	Trandolapril
1314	Tranexamic Acid
1315	Tranylcypromine
1316	Trastuzumab Emtansine
1317	Trazodone
1318	Treprostinil
1319	Tretinoin
1320	Triamterene
1321	Triazavirin
1322	Triazolam
1323	Triclabendazole
1324	Triethylenetetramine
1325	Trifluoperazine
1326	Trifluridine
1327	Triflusal
1328	Triheptanoin
1329	Trihexyphenidyl
1330	Trimebutine
1331	Trimetazidine
1332	Trimethadione
1333	Trimethobenzamide
1334	Trimipramine
1335	Trioxsalen
1336	Triprolidine
1337	Trofinetide
1338	Tropisetron
1339	Trospium
1340	Trovafloxacin
1341	Tucatinib
1342	Ubidecarenone
1343	Ubrogepant
1344	Ulipristal
1345	Umbralisib
1346	Upadacitinib
1347	Urea C-13
1348	Urea C-14
1349	Uridine Triacetate
1350	Urokinase
1351	Ursodeoxycholic Acid
1352	Vadadustat
1353	Valaciclovir
1354	Valbenazine
1355	Valdecoxib
1356	Valganciclovir
1357	Valoctocogene Roxaparvovec
1358	Valproic Acid
1359	Valsartan
1360	Vamorolone
1361	Vancomycin
1362	Vandetanib
1363	Vardenafil
1364	Varenicline
1365	Velpatasvir
1366	Vemurafenib
1367	Venetoclax
1368	Venlafaxine
1369	Verapamil
1370	Vericiguat
1371	Vibegron
1372	Vibrio Cholerae Cvd 103-Hgr Strain Live Antigen
1373	Vigabatrin
1374	Vilazodone
1375	Vildagliptin
1376	Viloxazine
1377	Vinblastine
