drug_name,food_name
Dalteparin,anticoagulant herbs
Dalteparin,garlic
Dalteparin,ginger
Dalteparin,ginkgo biloba
Danaparoid,alcohol
Danaparoid,anticoagulant herbs
Danaparoid,garlic
Danaparoid,ginger
Danaparoid,ginkgo biloba
Dapagliflozin,alcohol
Darbepoetin alfa,iron
Darbepoetin alfa,iron supplements
Darexaban,anticoagulant herbs
Darexaban,garlic
Darexaban,ginger
Darexaban,ginkgo biloba
Daridorexant,alcohol
Darolutamide,st. john's wort
Dasabuvir,st. john's wort
Dasatinib,grapefruit
Dasatinib,st. john's wort
Defibrotide,anticoagulant herbs
Defibrotide,garlic
Defibrotide,ginger
Defibrotide,ginkgo biloba
Deflazacort,grapefruit
Deflazacort,st. john's wort
Delamanid,st. john's wort
Demeclocycline,dairy
Demeclocycline,milk
Denosumab,calcium supplements
Denosumab,calcium-rich foods
Denosumab,vitamin D
Desipramine,alcohol
Desipramine,caffeine
Desirudin,anticoagulant herbs
Desirudin,garlic
Desirudin,ginger
Desirudin,ginkgo biloba
Desmoteplase,anticoagulant herbs
Desmoteplase,garlic
Desmoteplase,ginger
Desmoteplase,ginkgo biloba
Desvenlafaxine,alcohol
Desvenlafaxine,st. john's wort
Deutetrabenazine,alcohol
Dexamethasone,alcohol
Dexbrompheniramine,alcohol
Dexchlorpheniramine maleate,alcohol
Dexlansoprazole,st. john's wort
Dexmethylphenidate,alcohol
Dextran,anticoagulant herbs
Dextran,garlic
Dextran,ginger
Dextran,ginkgo biloba
Dextroamphetamine,fruit juice
Dextropropoxyphene,alcohol
Diamorphine,alcohol
Diazepam,alcohol
Dichloralphenazone,alcohol
Diclofenac,alcohol
Diclofenamide,potassium-rich foods
Dicoumarol,anticoagulant herbs
Dicoumarol,garlic
Dicoumarol,ginger
Dicoumarol,ginkgo biloba
Dicoumarol,ginseng
Dicyclomine,alcohol
Didanosine,alcohol
Dienogest,grapefruit
Dienogest,st. john's wort
Difelikefalin,alcohol
Difenoxin,alcohol
Diflunisal,alcohol
Digitoxin,avocado
Digitoxin,high-fiber foods
Digoxin,calcium-rich foods
Digoxin,high-fiber foods
Digoxin,potassium-rich foods
Digoxin,st. john's wort
Dihydrocodeine,alcohol
Dihydroergotamine,grapefruit
Diltiazem,natural licorice
Dimenhydrinate,alcohol
Diphenadione,anticoagulant herbs
Diphenadione,garlic
Diphenadione,ginger
Diphenadione,ginkgo biloba
Diphenhydramine,alcohol
Diphenoxylate,alcohol
Dipyridamole,anticoagulant herbs
Dipyridamole,coffee
Dipyridamole,garlic
Dipyridamole,ginger
Dipyridamole,ginkgo biloba
Dipyridamole,tea
Dipyridamole,xanthines
Diroximel fumarate,alcohol
Disopyramide,alcohol
Disulfiram,alcohol
Ditazole,anticoagulant herbs
Ditazole,garlic
Ditazole,ginger
Ditazole,ginkgo biloba
Docetaxel,grapefruit
Docetaxel,st. john's wort
Dofetilide,grapefruit
Dofetilide,st. john's wort
Dolutegravir,st. john's wort
Donepezil,alcohol
Doravirine,st. john's wort
Doxazosin,alcohol
Doxepin,alcohol
Doxepin,st. john's wort
Doxercalciferol,magnesium
Doxorubicin,grapefruit
Doxorubicin,st. john's wort
Doxycycline,calcium-rich foods
Doxylamine,alcohol
Dronabinol,alcohol
Dronedarone,grapefruit
Dronedarone,st. john's wort
Drospirenone,st. john's wort
Drotrecogin alfa,anticoagulant herbs
Drotrecogin alfa,garlic
Drotrecogin alfa,ginger
Drotrecogin alfa,ginkgo biloba
Duloxetine,alcohol
Duvelisib,st. john's wort
Edetic acid,anticoagulant herbs
Edetic acid,garlic
Edetic acid,ginger
Edetic acid,ginkgo biloba
Edoxaban,anticoagulant herbs
Edoxaban,garlic
Edoxaban,ginger
Edoxaban,ginkgo biloba
Efavirenz,alcohol
Elagolix,calcium supplements
Elagolix,calcium-rich foods
Elagolix,vitamin D
Elbasvir,grapefruit
Elbasvir,st. john's wort
Elexacaftor,grapefruit
Elexacaftor,st. john's wort
Eliglustat,grapefruit
Eliglustat,st. john's wort
Eluxadoline,alcohol
Elvitegravir,st. john's wort
