food_raw,food_name,food_matched,food_id,drug_raw,drug_name,drug_id,verdict
Allicin,Allicin,allicin,1011,Lithium,lithium,1475,LIT-confirmed
Allicin,Allicin,allicin,1011,Warfarin,warfarin,1396,DrugBank-named
Allicin,Allicin,allicin,1011,Saquinavir,saquinavir,1149,LIT-confirmed
AGEs,AGEs,UNMATCHED,—,MAOIs,phenelzine,994,LIT-confirmed
AGEs,AGEs,UNMATCHED,—,MAOIs,tranylcypromine,1316,LIT-confirmed
AGEs,AGEs,UNMATCHED,—,MAOIs,isocarboxazid,662,LIT-confirmed
AGEs,AGEs,UNMATCHED,—,MAOIs,selegiline,1158,LIT-confirmed
Triglycerides,Triglycerides (Dietary Fat),fat,9,Cyclosporine/Orlistat,cyclosporine,306,LIT-confirmed
Triglycerides,Triglycerides (Dietary Fat),fat,9,Cyclosporine/Orlistat,orlistat,929,LIT-confirmed
Triglycerides,Triglycerides (Dietary Fat),fat,9,Benzodiazepines,diazepam,363,DrugBank-text
Triglycerides,Triglycerides (Dietary Fat),fat,9,Benzodiazepines,alprazolam,42,DrugBank-text
Triglycerides,Triglycerides (Dietary Fat),fat,9,Benzodiazepines,lorazepam,742,DrugBank-text
Triglycerides,Triglycerides (Dietary Fat),fat,9,Warfarin,warfarin,1396,DrugBank-text
Triglycerides,Triglycerides (Dietary Fat),fat,9,Allopurinol,allopurinol,36,DrugBank-text
Allicin,Allicin,allicin,1011,Cyclosporine/Orlistat,cyclosporine,306,PubMed-NLP
Allicin,Allicin,allicin,1011,Cyclosporine/Orlistat,orlistat,929,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Cyclosporine/Orlistat,cyclosporine,306,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Cyclosporine/Orlistat,orlistat,929,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Warfarin,warfarin,1396,DrugBank-named
Quercetin,Quercetin,quercetin,279,Allopurinol,allopurinol,36,PubMed-NLP
Piperine,Piperine,piperine,264,Warfarin,warfarin,1396,LIT-confirmed
Coumarin,Coumarin,coumarin,645,Warfarin,warfarin,1396,LIT-confirmed
Coumarin,Coumarin,coumarin,645,Insulin/Metformin,insulin,1615,PubMed-NLP
Coumarin,Coumarin,coumarin,645,Insulin/Metformin,metformin,794,PubMed-NLP
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/Metformin,insulin,1615,LIT-confirmed
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/Metformin,metformin,794,LIT-confirmed
Butyric Acid,Butyric Acid,butyric acid,679,Insulin/Metformin,insulin,1615,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Insulin/Metformin,metformin,794,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Statins,statins,1772,PubMed-NLP
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Cipro/Tetracyclines,ciprofloxacin,258,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Cipro/Tetracyclines,tetracycline,1266,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Cipro/Tetracyclines,doxycycline,405,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Theophylline/Duloxetine,theophylline,1271,DrugBank-text
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Theophylline/Duloxetine,duloxetine,413,DrugBank-text
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Digoxin/Metformin,digoxin,378,DrugBank-text
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,Digoxin/Metformin,metformin,794,DrugBank-text
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,IronSuppl,ferrous sulfate anhydrous,513,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,IronSuppl,ferrous sulfate,1786,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,IronSuppl,ferrous gluconate,512,LIT-confirmed
PhyticAcid+Mg,Phytic Acid + Magnesium (Frik),phytic acid,762,IronSuppl,ferrous fumarate,511,LIT-confirmed
SmokedPAH,Smoked / Roasted PAHs,UNMATCHED,—,Theophylline/Duloxetine,theophylline,1271,LIT-confirmed
SmokedPAH,Smoked / Roasted PAHs,UNMATCHED,—,Theophylline/Duloxetine,duloxetine,413,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,Cipro/Tetracyclines,ciprofloxacin,258,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,Cipro/Tetracyclines,tetracycline,1266,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,Cipro/Tetracyclines,doxycycline,405,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,Theophylline/Duloxetine,theophylline,1271,DrugBank-text
SolFiber,Soluble Fiber (Pectin),fiber,10,Theophylline/Duloxetine,duloxetine,413,DrugBank-text
SolFiber,Soluble Fiber (Pectin),fiber,10,IronSuppl,ferrous sulfate anhydrous,513,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,IronSuppl,ferrous sulfate,1786,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,IronSuppl,ferrous gluconate,512,LIT-confirmed
SolFiber,Soluble Fiber (Pectin),fiber,10,IronSuppl,ferrous fumarate,511,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,ferrous sulfate anhydrous,513,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,ferrous sulfate,1786,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,ferrous gluconate,512,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,ferrous fumarate,511,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,ca,1478,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,zn,1525,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,calcium carbonate,185,LIT-confirmed
Tannins,Tannins,phenols,791,IronSuppl/Ca/Zn,zinc sulfate,1414,LIT-confirmed
Tannins,Tannins,phenols,791,Cipro/Clozapine/Theophylline,ciprofloxacin,258,LIT-confirmed
Tannins,Tannins,phenols,791,Cipro/Clozapine/Theophylline,clozapine,283,LIT-confirmed
Tannins,Tannins,phenols,791,Cipro/Clozapine/Theophylline,theophylline,1271,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,diazepam,363,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,alprazolam,42,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,lorazepam,742,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,propranolol,1068,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,metoprolol,818,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,atenolol,1724,LIT-confirmed
Tannins,Tannins,phenols,791,Benzodiazepines/BB,bisoprolol,153,LIT-confirmed
Tannins,Tannins,phenols,791,Insulin/SGLT2,insulin,1615,PubMed-NLP
Tannins,Tannins,phenols,791,Insulin/SGLT2,empagliflozin,433,PubMed-NLP
Tannins,Tannins,phenols,791,Insulin/SGLT2,dapagliflozin,322,PubMed-NLP
Tannins,Tannins,phenols,791,Insulin/SGLT2,canagliflozin,190,PubMed-NLP
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,ferrous sulfate anhydrous,513,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,ferrous sulfate,1786,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,ferrous gluconate,512,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,ferrous fumarate,511,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,ca,1478,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,zn,1525,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,calcium carbonate,185,LIT-confirmed
Caffeine,Caffeine,caffeine,1,IronSuppl/Ca/Zn,zinc sulfate,1414,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Cipro/Clozapine/Theophylline,ciprofloxacin,258,DrugBank-named
Caffeine,Caffeine,caffeine,1,Cipro/Clozapine/Theophylline,clozapine,283,DrugBank-named
Caffeine,Caffeine,caffeine,1,Cipro/Clozapine/Theophylline,theophylline,1271,DrugBank-named
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,diazepam,363,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,alprazolam,42,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,lorazepam,742,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,propranolol,1068,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,metoprolol,818,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,atenolol,1724,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Benzodiazepines/BB,bisoprolol,153,LIT-confirmed
Caffeine,Caffeine,caffeine,1,Insulin/SGLT2,insulin,1615,PubMed-NLP
Caffeine,Caffeine,caffeine,1,Insulin/SGLT2,empagliflozin,433,PubMed-NLP
Caffeine,Caffeine,caffeine,1,Insulin/SGLT2,dapagliflozin,322,PubMed-NLP
Caffeine,Caffeine,caffeine,1,Insulin/SGLT2,canagliflozin,190,PubMed-NLP
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,ferrous sulfate anhydrous,513,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,ferrous sulfate,1786,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,ferrous gluconate,512,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,ferrous fumarate,511,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,ca,1478,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,zn,1525,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,calcium carbonate,185,LIT-confirmed
Saponins,Saponins,saponins,1046,IronSuppl/Ca/Zn,zinc sulfate,1414,LIT-confirmed
Saponins,Saponins,saponins,1046,Cipro/Clozapine/Theophylline,ciprofloxacin,258,LIT-confirmed
Saponins,Saponins,saponins,1046,Cipro/Clozapine/Theophylline,clozapine,283,LIT-confirmed
Saponins,Saponins,saponins,1046,Cipro/Clozapine/Theophylline,theophylline,1271,LIT-confirmed
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/SGLT2,insulin,1615,LIT-confirmed
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/SGLT2,empagliflozin,433,LIT-confirmed
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/SGLT2,dapagliflozin,322,LIT-confirmed
Sucrose,Sucrose / Glucose,sucrose,340,Insulin/SGLT2,canagliflozin,190,LIT-confirmed
Quercetin,Quercetin,quercetin,279,Warfarin/CYP2C9,warfarin,1396,DrugBank-named
Quercetin,Quercetin,quercetin,279,Warfarin/CYP2C9,phenytoin,1004,DrugBank-named
Quercetin,Quercetin,quercetin,279,Warfarin/CYP2C9,glipizide,588,DrugBank-named
Quercetin,Quercetin,quercetin,279,Warfarin/CYP2C9,flurbiprofen,546,DrugBank-named
Allicin,Allicin,allicin,1011,Warfarin/CYP2C9,warfarin,1396,DrugBank-named
Allicin,Allicin,allicin,1011,Warfarin/CYP2C9,phenytoin,1004,DrugBank-named
Allicin,Allicin,allicin,1011,Warfarin/CYP2C9,glipizide,588,DrugBank-named
Allicin,Allicin,allicin,1011,Warfarin/CYP2C9,flurbiprofen,546,DrugBank-named
Choline,Choline,choline,579,ACE-I,lisinopril,732,LIT-confirmed
Choline,Choline,choline,579,ACE-I,enalapril,435,LIT-confirmed
Choline,Choline,choline,579,ACE-I,ramipril,1092,LIT-confirmed
Choline,Choline,choline,579,ACE-I,captopril,198,LIT-confirmed
Choline,Choline,choline,579,ACE-I,perindopril,988,LIT-confirmed
Choline,Choline,choline,579,Anticholinergics,atropine,98,LIT-confirmed
Choline,Choline,choline,579,Anticholinergics,oxybutynin,946,LIT-confirmed
Choline,Choline,choline,579,Anticholinergics,ne,1774,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,Antihypertensives,lisinopril,732,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,Antihypertensives,amlodipine,59,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,Antihypertensives,hydrochlorothiazide,604,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,Antihypertensives,metoprolol,818,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,Antihypertensives,losartan,745,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,ACE-I,lisinopril,732,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,ACE-I,enalapril,435,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,ACE-I,ramipril,1092,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,ACE-I,captopril,198,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,ACE-I,perindopril,988,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,CYP3A4,cyclosporine,306,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,CYP3A4,simvastatin,1174,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,CYP3A4,midazolam,825,LIT-confirmed
Oleuropein,Oleuropein,oleuropein,1411,CYP3A4,tacrolimus,1224,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP3A4,cyclosporine,306,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP3A4,simvastatin,1174,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP3A4,midazolam,825,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP3A4,tacrolimus,1224,LIT-confirmed
Curcumin,Curcumin,curcumin,738,Warfarin,warfarin,1396,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP3A4,cyclosporine,306,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP3A4,simvastatin,1174,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP3A4,midazolam,825,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP3A4,tacrolimus,1224,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,Levothyroxine,levothyroxine,722,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,Warfarin,warfarin,1396,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,CYP2C9,warfarin,1396,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,CYP2C9,phenytoin,1004,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,CYP2C9,glipizide,588,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,CYP2C9,flurbiprofen,546,LIT-confirmed
Glucobrassicin,Glucobrassicin,4-hydroxyglucobrassicin,630,Tacrolimus,tacrolimus,1224,LIT-confirmed
Cinnamaldehyde,Cinnamaldehyde,cinnamaldehyde,797,Insulin,insulin,1615,LIT-confirmed
Amylopectin,Amylopectin,amylopectin,1801,Insulin,insulin,1615,LIT-confirmed
Amylopectin,Amylopectin,amylopectin,1801,Tacrolimus,tacrolimus,1224,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Insulin,insulin,1615,PubMed-NLP
Quercetin,Quercetin,quercetin,279,CYP2C9,warfarin,1396,LIT-confirmed
Quercetin,Quercetin,quercetin,279,CYP2C9,phenytoin,1004,LIT-confirmed
Quercetin,Quercetin,quercetin,279,CYP2C9,glipizide,588,LIT-confirmed
Quercetin,Quercetin,quercetin,279,CYP2C9,flurbiprofen,546,LIT-confirmed
Curcumin,Curcumin,curcumin,738,Levothyroxine,levothyroxine,722,PubMed-NLP
Curcumin,Curcumin,curcumin,738,Insulin,insulin,1615,PubMed-NLP
Curcumin,Curcumin,curcumin,738,CYP2C9,warfarin,1396,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP2C9,phenytoin,1004,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP2C9,glipizide,588,LIT-confirmed
Curcumin,Curcumin,curcumin,738,CYP2C9,flurbiprofen,546,LIT-confirmed
Curcumin,Curcumin,curcumin,738,Tacrolimus,tacrolimus,1224,LIT-confirmed
Solanine,Solanine,UNMATCHED,—,Neuromuscular Blockers,succinylcholine,2257,LIT-confirmed
Solanine,Solanine,UNMATCHED,—,Neuromuscular Blockers,vecuronium,2907,LIT-confirmed
Solanine,Solanine,UNMATCHED,—,Neuromuscular Blockers,rocuronium,2540,LIT-confirmed
Allicin,Allicin,allicin,1011,Digoxin,digoxin,378,LIT-confirmed
Vit-K,Vitamin K,vitamin k,469,Prednisone,prednisone,1048,DrugBank-text
Vit-K,Vitamin K,vitamin k,469,Digoxin,digoxin,378,DrugBank-text
Vit-K,Vitamin K,vitamin k,469,Warfarin,warfarin,1396,DrugBank-named
Vit-K,Vitamin K,vitamin k,469,Benzodiazepines,diazepam,363,DrugBank-text
Vit-K,Vitamin K,vitamin k,469,Benzodiazepines,alprazolam,42,DrugBank-text
Vit-K,Vitamin K,vitamin k,469,Benzodiazepines,lorazepam,742,DrugBank-text
W: Amylopectin,W: Amylopectin,amylopectin,1801,Insulin,insulin,1615,LIT-confirmed
W: Amylopectin,W: Amylopectin,amylopectin,1801,Statins/Cyclosporine,statins,1772,PubMed-NLP
W: Amylopectin,W: Amylopectin,amylopectin,1801,Statins/Cyclosporine,cyclosporine,306,PubMed-NLP
W: Amylopectin,W: Amylopectin,amylopectin,1801,Statins/Cyclosporine,simvastatin,1174,PubMed-NLP
W: Amylopectin,W: Amylopectin,amylopectin,1801,Statins/Cyclosporine,atorvastatin,96,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Statins/Cyclosporine,statins,1772,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Statins/Cyclosporine,cyclosporine,306,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Statins/Cyclosporine,simvastatin,1174,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Statins/Cyclosporine,atorvastatin,96,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Anticholinergics,atropine,98,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Anticholinergics,oxybutynin,946,PubMed-NLP
Butyric Acid,Butyric Acid,butyric acid,679,Anticholinergics,ne,1774,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Statins/Cyclosporine,statins,1772,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Statins/Cyclosporine,cyclosporine,306,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Statins/Cyclosporine,simvastatin,1174,PubMed-NLP
Quercetin,Quercetin,quercetin,279,Statins/Cyclosporine,atorvastatin,96,PubMed-NLP
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Insulin,insulin,1615,LIT-confirmed
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Statins/Cyclosporine,statins,1772,DrugBank-named
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Statins/Cyclosporine,cyclosporine,306,DrugBank-named
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Statins/Cyclosporine,simvastatin,1174,DrugBank-named
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Statins/Cyclosporine,atorvastatin,96,DrugBank-named
Sucrose/Fructose,Sucrose/Fructose,sucrose,340,Warfarin,warfarin,1396,DrugBank-named
Amylopectin,Amylopectin,amylopectin,1801,Statins/Cyclosporine,statins,1772,PubMed-NLP
Amylopectin,Amylopectin,amylopectin,1801,Statins/Cyclosporine,cyclosporine,306,PubMed-NLP
Amylopectin,Amylopectin,amylopectin,1801,Statins/Cyclosporine,simvastatin,1174,PubMed-NLP
Amylopectin,Amylopectin,amylopectin,1801,Statins/Cyclosporine,atorvastatin,96,PubMed-NLP
Resveratrol,Resveratrol,trans-resveratrol,872,Insulin,insulin,1615,PubMed-NLP
Resveratrol,Resveratrol,trans-resveratrol,872,Statins/Cyclosporine,statins,1772,DrugBank-named
Resveratrol,Resveratrol,trans-resveratrol,872,Statins/Cyclosporine,cyclosporine,306,DrugBank-named
Resveratrol,Resveratrol,trans-resveratrol,872,Statins/Cyclosporine,simvastatin,1174,DrugBank-named
Resveratrol,Resveratrol,trans-resveratrol,872,Statins/Cyclosporine,atorvastatin,96,DrugBank-named
Resveratrol,Resveratrol,trans-resveratrol,872,Warfarin,warfarin,1396,DrugBank-named
Piperine,Piperine,piperine,264,Insulin,insulin,1615,PubMed-NLP
Amylose/Amylopectin,Amylose/Amylopectin,pectin,798,Insulin,insulin,1615,LIT-confirmed
Amylose/Amylopectin,Amylose/Amylopectin,pectin,798,Tacrolimus,tacrolimus,1224,PubMed-NLP
Allicin,Allicin,allicin,1011,Warfarin/Clopidogrel,warfarin,1396,DrugBank-named
Allicin,Allicin,allicin,1011,Warfarin/Clopidogrel,clopidogrel,278,DrugBank-named
Allicin,Allicin,allicin,1011,Statins/Cyclosporine,statins,1772,PubMed-NLP
Allicin,Allicin,allicin,1011,Statins/Cyclosporine,cyclosporine,306,PubMed-NLP
Allicin,Allicin,allicin,1011,Statins/Cyclosporine,simvastatin,1174,PubMed-NLP
Allicin,Allicin,allicin,1011,Statins/Cyclosporine,atorvastatin,96,PubMed-NLP
Saturated Lipids,Saturated Lipids,fat,9,Statins/Cyclosporine,statins,1772,LIT-confirmed
Saturated Lipids,Saturated Lipids,fat,9,Statins/Cyclosporine,cyclosporine,306,LIT-confirmed
Saturated Lipids,Saturated Lipids,fat,9,Statins/Cyclosporine,simvastatin,1174,LIT-confirmed
Saturated Lipids,Saturated Lipids,fat,9,Statins/Cyclosporine,atorvastatin,96,LIT-confirmed
S: Allicin,S: Allicin,allicin,1011,Warfarin/CYP2C9,warfarin,1396,DrugBank-named
S: Allicin,S: Allicin,allicin,1011,Warfarin/CYP2C9,phenytoin,1004,DrugBank-named
S: Allicin,S: Allicin,allicin,1011,Warfarin/CYP2C9,glipizide,588,DrugBank-named
S: Allicin,S: Allicin,allicin,1011,Warfarin/CYP2C9,flurbiprofen,546,DrugBank-named
Purines,Purines,purine,799,Allopurinol/Febuxostat,allopurinol,36,LIT-confirmed
Purines,Purines,purine,799,Allopurinol/Febuxostat,febuxostat,496,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Ciprofloxacin/Fe,ciprofloxacin,258,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Ciprofloxacin/Fe,fe,1445,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Ciprofloxacin/Fe,ferrous sulfate anhydrous,513,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Ciprofloxacin/Fe,ferrous sulfate,1786,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,ACE-I,lisinopril,732,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,ACE-I,enalapril,435,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,ACE-I,ramipril,1092,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,ACE-I,captopril,198,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,ACE-I,perindopril,988,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP2C9,warfarin,1396,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP2C9,phenytoin,1004,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP2C9,glipizide,588,LIT-confirmed
Allicin,Allicin,allicin,1011,CYP2C9,flurbiprofen,546,LIT-confirmed
