drug_id,drug_name,category,dual_role,notes
ISO,,pharmaceutical,,Enantiomer/variant of: 
Ibuprofen,,pharmaceutical,,Enantiomer/variant of: 
Insulin,,pharmaceutical,,Enantiomer/variant of: 
K+,,pharmaceutical,,Enantiomer/variant of: 
K+ channel opener,,pharmaceutical,,Enantiomer/variant of: 
KAN,,pharmaceutical,,Enantiomer/variant of: 
KCl,,pharmaceutical,,Enantiomer/variant of: 
Ketamine,,pharmaceutical,,Enantiomer/variant of: 
Ketoconazole,,pharmaceutical,,Enantiomer/variant of: 
L-Cysteine,,pharmaceutical,,Enantiomer/variant of: 
L-NAME,,pharmaceutical,,Enantiomer/variant of: 
L-NMMA,,pharmaceutical,,Enantiomer/variant of: 
L-cysteine,,pharmaceutical,,Enantiomer/variant of: 
L-dopa,,pharmaceutical,,Enantiomer/variant of: 
L-phenylephrine,,pharmaceutical,,Enantiomer/variant of: 
L-thyroxine,,pharmaceutical,,Enantiomer/variant of: 
LH,,pharmaceutical,,Enantiomer/variant of: 
LT,,pharmaceutical,,Enantiomer/variant of: 
Lac,,pharmaceutical,,Enantiomer/variant of: 
Lithium,,pharmaceutical,,Enantiomer/variant of: 
Lithium carbonate,,pharmaceutical,,Enantiomer/variant of: 
Lop,,pharmaceutical,,Enantiomer/variant of: 
M-pred,,pharmaceutical,,Enantiomer/variant of: 
MDA,,pharmaceutical,,Enantiomer/variant of: 
MET,,pharmaceutical,,Enantiomer/variant of: 
METH,,pharmaceutical,,Enantiomer/variant of: 
MMC,,pharmaceutical,,Enantiomer/variant of: 
MMS,,pharmaceutical,,Enantiomer/variant of: 
MPO,,pharmaceutical,,Enantiomer/variant of: 
MTX,,pharmaceutical,,Enantiomer/variant of: 
MTZ,,pharmaceutical,,Enantiomer/variant of: 
Malondialdehyde,,pharmaceutical,,Enantiomer/variant of: 
Maltofer,,pharmaceutical,,Enantiomer/variant of: 
Manganese,,pharmaceutical,,Enantiomer/variant of: 
Met,,pharmaceutical,,Enantiomer/variant of: 
Methotrexate,,pharmaceutical,,Enantiomer/variant of: 
Methyl-prednisolone,,pharmaceutical,,Enantiomer/variant of: 
Methylmercury,,pharmaceutical,,Enantiomer/variant of: 
Mg,,pharmaceutical,,Enantiomer/variant of: 
Mn,,pharmaceutical,,Enantiomer/variant of: 
Moclobemide,,pharmaceutical,,Enantiomer/variant of: 
N(G)-monomethyl-L-arginine,,pharmaceutical,,Enantiomer/variant of: 
N(G)-nitro-L-arginine methyl ester,,pharmaceutical,,Enantiomer/variant of: 
N(G)-nitro-L-arginine methyl ester (L-NAME),,pharmaceutical,,Enantiomer/variant of: 
N(G)-nitro-l-arginine methyl ester,,pharmaceutical,,Enantiomer/variant of: 
N-acetylcysteine,,pharmaceutical,,Enantiomer/variant of: 
N-methyl-D-aspartate,,pharmaceutical,,Enantiomer/variant of: 
NAC,,pharmaceutical,,Enantiomer/variant of: 
NE,,pharmaceutical,,Enantiomer/variant of: 
NFP,,pharmaceutical,,Enantiomer/variant of: 
NO,,pharmaceutical,,Enantiomer/variant of: 
NO synthase inhibitor,,pharmaceutical,,Enantiomer/variant of: 
NPSH,,pharmaceutical,,Enantiomer/variant of: 
NSAID,,pharmaceutical,,Enantiomer/variant of: 
Na+,,pharmaceutical,,Enantiomer/variant of: 
NaHCO3,,pharmaceutical,,Enantiomer/variant of: 
Nadolol,,pharmaceutical,,Enantiomer/variant of: 
Naloxone,,pharmaceutical,,Enantiomer/variant of: 
Nateglinide,,pharmaceutical,,Enantiomer/variant of: 
Nicotine,,pharmaceutical,,Enantiomer/variant of: 
OPH,,pharmaceutical,,Enantiomer/variant of: 
Oxaliplatin,,pharmaceutical,,Enantiomer/variant of: 
P,,pharmaceutical,,Enantiomer/variant of: 
PB,,pharmaceutical,,Enantiomer/variant of: 
PC,,pharmaceutical,,Enantiomer/variant of: 
