food_name,food_id,drug_name,drug_id,verdict
Butyric Acid / SCFAs (Smen Butter),679,diltiazem,382,DrugBank-text
Butyric Acid / SCFAs (Smen Butter),679,warfarin,1396,DrugBank-text
Butyric Acid / SCFAs (Smen Butter),679,diazepam,363,DrugBank-text
Butyric Acid / SCFAs (Smen Butter),679,alprazolam,42,DrugBank-text
Butyric Acid / SCFAs (Smen Butter),679,lorazepam,742,DrugBank-text
Potassium + Magnesium (Date Paste / Ghers),22,amiloride,50,LIT-confirmed
Potassium + Magnesium (Date Paste / Ghers),22,triamterene,1321,LIT-confirmed
Potassium + Magnesium (Date Paste / Ghers),22,rs,1435,LIT-confirmed
Potassium + Magnesium (Date Paste / Ghers),22,amlodipine,59,LIT-confirmed
Potassium + Magnesium (Date Paste / Ghers),22,diltiazem,382,LIT-confirmed
Shortcrust-FriableMatrix,9,lisinopril,732,DrugBank-text
Shortcrust-FriableMatrix,9,enalapril,435,DrugBank-text
Shortcrust-FriableMatrix,9,ramipril,1092,DrugBank-text
Shortcrust-FriableMatrix,9,captopril,198,DrugBank-text
Shortcrust-FriableMatrix,9,perindopril,988,DrugBank-text
Shortcrust-FriableMatrix,9,midazolam,825,LIT-confirmed
Shortcrust-FriableMatrix,9,tacrolimus,1224,LIT-confirmed
LArginine+Mg2+,512,fe,1445,PubMed-NLP
LArginine+Mg2+,512,lisinopril,732,PubMed-NLP
LArginine+Mg2+,512,enalapril,435,PubMed-NLP
LArginine+Mg2+,512,ramipril,1092,PubMed-NLP
LArginine+Mg2+,512,captopril,198,PubMed-NLP
LArginine+Mg2+,512,perindopril,988,PubMed-NLP
Albumin+Protein,23,metformin,794,DrugBank-text
Albumin+Protein,23,insulin,1615,DrugBank-text
Albumin+Protein,23,statins,1772,DrugBank-text
Albumin+Protein,23,cyclosporine,306,DrugBank-text
Albumin+Protein,23,simvastatin,1174,DrugBank-text
Albumin+Protein,23,fe,1445,DrugBank-text
Albumin+Protein,23,lisinopril,732,DrugBank-text
Albumin+Protein,23,enalapril,435,DrugBank-text
Albumin+Protein,23,ramipril,1092,DrugBank-text
Albumin+Protein,23,captopril,198,DrugBank-text
