brand_name,inn_raw,inn_normalized,pipeline_drug,match_type
BIOPAMOX,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,amoxicilline,Amoxicillin,exact
AMOCLAN 8:1,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
CLAMOXYPEN,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
BIOCLAV,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
AUGMENTIN ENFANT ET AUGMENTIN NOURRISSON,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
CLAVODEX,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
CLAMOCLAV ENFANT ET NOURRISSON,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline / acide clavulanique potassique exprime en acide clavulanique,,none
AMOCLAN 8:1,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE /ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline /acide clavulanique potassique exprime en acide clavulanique,,none
BIOCLAV 8:1,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE /ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline /acide clavulanique potassique exprime en acide clavulanique,,none
AUGMENTIN ADULTE,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE /ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline /acide clavulanique potassique exprime en acide clavulanique,,none
CLAVODEX,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE /ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline /acide clavulanique potassique exprime en acide clavulanique,,none
CLAMOCLAV,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE /ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,amoxicilline /acide clavulanique potassique exprime en acide clavulanique,,none
AMOCLAN 8:1,AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,acide clavulanique,Clavulanic acid,prefix
AMOCLAN BID,AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,acide clavulanique,Clavulanic acid,prefix
BIOCLAV 8:1,AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,acide clavulanique,Clavulanic acid,prefix
CLAVODEX,AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,acide clavulanique,Clavulanic acid,prefix
