drug_id,drug_name,category,notes
271,Clofazimine,pharmaceutical,
272,Clofedanol,pharmaceutical,
273,Clofibrate,pharmaceutical,
274,Clomifene,pharmaceutical,
275,Clomipramine,pharmaceutical,
276,Clonazepam,pharmaceutical,
277,Clonidine,pharmaceutical,
278,Clopidogrel,pharmaceutical,
279,Clorazepic Acid,pharmaceutical,
280,Clorindione,pharmaceutical,
281,Cloxacillin,pharmaceutical,
282,Cloxazolam,pharmaceutical,
283,Clozapine,pharmaceutical,
284,Cobicistat,pharmaceutical,
285,Cobimetinib,pharmaceutical,
286,Cocarboxylase,pharmaceutical,
287,Codeine,pharmaceutical,
288,Coenzyme M,pharmaceutical,
289,Colchicine,pharmaceutical,
290,Colesevelam,pharmaceutical,
291,Colestipol,pharmaceutical,
292,Conjugated Estrogens,pharmaceutical,
293,Copanlisib,pharmaceutical,
294,Copper Oxodotreotide Cu-64,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
295,Cortisone Acetate,pharmaceutical,
296,Coumarin,pharmaceutical,
297,Crizotinib,pharmaceutical,
298,Crofelemer,pharmaceutical,
299,Cromoglicic Acid,pharmaceutical,
300,Cyanocobalamin,pharmaceutical,
301,Cyclandelate,pharmaceutical,
302,Cyclizine,pharmaceutical,
303,Cyclobenzaprine,pharmaceutical,
304,Cyclophosphamide,pharmaceutical,
305,Cycloserine,pharmaceutical,
306,Cyclosporine,pharmaceutical,
307,Cyproheptadine,pharmaceutical,
308,Cyproterone Acetate,pharmaceutical,
309,Cysteamine,pharmaceutical,
310,Dabigatran,pharmaceutical,
311,Dabigatran Etexilate,pharmaceutical,
312,Dabrafenib,pharmaceutical,
313,Dacarbazine,pharmaceutical,
314,Daclatasvir,pharmaceutical,
315,Dacomitinib,pharmaceutical,
316,Dalfampridine,pharmaceutical,
317,Dalteparin,pharmaceutical,
318,Danaparoid,pharmaceutical,
319,Danazol,pharmaceutical,
320,Danicopan,pharmaceutical,
321,Dantrolene,pharmaceutical,
322,Dapagliflozin,pharmaceutical,
323,Daprodustat,pharmaceutical,
324,Dapsone,pharmaceutical,
325,Darbepoetin Alfa,biological,
326,Darexaban,pharmaceutical,
327,Daridorexant,pharmaceutical,
328,Darifenacin,pharmaceutical,
329,Darolutamide,pharmaceutical,
330,Darunavir,pharmaceutical,
331,Dasabuvir,pharmaceutical,
332,Dasatinib,pharmaceutical,
333,Debrisoquine,pharmaceutical,
334,Deferasirox,pharmaceutical,
335,Deferiprone,pharmaceutical,
336,Defibrotide,pharmaceutical,
337,Deflazacort,pharmaceutical,
338,Delafloxacin,pharmaceutical,
339,Delamanid,pharmaceutical,
340,Delavirdine,pharmaceutical,
341,Demeclocycline,pharmaceutical,
342,Denosumab,biological,
343,Desipramine,pharmaceutical,
344,Desirudin,pharmaceutical,
345,Desloratadine,pharmaceutical,
346,Desmoteplase,pharmaceutical,
347,Desvenlafaxine,pharmaceutical,
