TM_interactions_ID,texts_ID,start_index,end_index,food,drug
32597,19458,0,76,cream,halometasone
32638,19481,627,893,ethanol,ranitidine
32664,19494,0,91,choline,scopolamine
32667,19494,348,783,scopolamine,choline
32668,19495,0,70,phosphatidylcholine,physostigmine
32673,19498,766,894,capsaicin,fentanyl
32687,19505,887,986,d-glucose,lidocaine
32697,19511,87,296,alpha-tocopherol,ozone
32698,19512,0,102,calcium,hydrochlorothiazide
32718,19522,1444,1685,cholesterol,Rosuvastatin
32736,19533,655,993,piperine,chlorzoxazone
32738,19533,1228,1456,piperine,chlorzoxazone
32740,19533,1460,1665,piperine,chlorzoxazone
32745,19535,427,599,creatinine,cyclosporine
32775,19546,636,794,sesame oil,testosterone enanthate
32776,19547,114,316,cortisol,dexamethasone
32777,19547,830,1064,cortisol,dexamethasone
32779,19549,731,947,glycerol,tretinoin
32785,19552,850,982,serotonin,Paroxetine
32786,19553,468,790,Myo-inositol,testosterone
32789,19554,1051,1212,adenosine monophosphate,methacholine
32799,19561,2073,2158,folic acid,capecitabine
32802,19562,347,605,phosphate,arginine
32805,19562,347,605,phosphate,alpha-ketoisocaproic acid
32807,19562,347,605,urea,arginine
32810,19562,347,605,urea,alpha-ketoisocaproic acid
32814,19562,606,775,2-oxopentanedioic acid,calcium carbonate
32846,19577,1564,1662,l-asparagine,Osilodrostat
32860,19588,1266,1465,flaxseed,hesperidin
32861,19588,1466,1806,flaxseed,hesperidin
32862,19588,1807,2040,flaxseed,hesperidin
32866,19591,835,988,hydrogen,inulin
32869,19592,0,146,Iron,Ferrous Fumarate
32883,19599,0,182,arginine,omega-3 fatty acids
32884,19599,1803,2041,arginine,omega-3 fatty acids
32900,19604,1231,1314,serotonin,Fenfluramine
32918,19612,84,230,cholesterol,Ezetimibe
32924,19614,66,332,iodine,methimazole
32928,19616,871,957,coffee,propranolol
32938,19621,1415,1725,iron,erythropoietin
32953,19629,0,105,chitosan,calcium phosphate
32955,19630,937,1169,iron,iron sucrose
32957,19630,1447,1621,iron,iron sucrose
32958,19631,1126,1333,scopolamine,lorazepam
32966,19636,535,854,capsaicin,methacholine
32967,19637,0,167,calcium,levosimendan
32969,19637,983,1147,calcium,levosimendan
32973,19640,0,121,cholesterol,atorvastatin
32987,19649,135,255,melatonin,alprazolam
32993,19653,1408,1631,serotonin,Bupropion
32994,19653,1408,1631,serotonin,nortriptyline
32996,19655,0,78,theophylline,terbutaline
32997,19655,360,555,theophylline,terbutaline
32998,19655,556,680,theophylline,terbutaline
33018,19665,344,477,Theophylline,albuterol
33027,19668,859,1079,chitosan,chlorhexidine
33028,19668,1080,1241,chitosan,chlorhexidine
33038,19673,0,166,salt,Angiotensin II
33040,19673,1129,1358,salt,valsartan
33052,19679,717,1070,d-glucose,Sitagliptin
33060,19681,1588,1760,cholesterol,folic acid
33073,19686,1271,1491,morphine,dexmedetomidine
33079,19690,1509,1670,theophylline,montelukast
33092,19695,1025,1257,iron,phosphatidylethanolamine
33098,19695,1025,1257,phosphatidylcholine,phosphatidylethanolamine
33099,19696,602,889,caffeine,epinephrine
33120,19705,1311,1548,glycerol,Atenolol
33121,19705,1311,1548,epinephrine,Atenolol
33122,19705,1311,1548,cortisol,Atenolol
33123,19705,1311,1548,dopamine,Atenolol
33127,19706,1777,1855,grapefruit,Sildenafil
33128,19707,283,402,dopamine,methadone
33132,19710,1221,1377,cortisol,chromium
33135,19712,161,302,cholesterol,aldosterone
33137,19714,0,155,caffeine,ibuprofen
33138,19715,1371,1517,caffeine,regadenoson
33155,19725,1665,1764,energy drink,caffeine
33162,19727,1560,1698,eicosapentaenoic acid,doconexent
33185,19740,0,78,garlic,allicin
33194,19744,0,119,kynurenine,kynurenic acid
33201,19750,269,556,oxygen,dobutamine
33217,19757,795,882,digoxin,digitoxin
33239,19770,1353,1582,cortisol,aldosterone
33241,19770,1781,1919,cortisol,aldosterone
33244,19773,1046,1235,water,Lysergic acid diethylamide
33253,19779,939,1039,d-glucose,metformin
33275,19788,1364,1486,ethanol,paclitaxel
33278,19790,1542,1746,nitrate,hydralazine
33282,19794,1597,1692,cholesterol,atorvastatin
33291,19800,149,358,calcium,felodipine
33292,19800,944,1092,Mg2+,felodipine
33293,19800,1249,1472,calcium,felodipine
33294,19800,1249,1472,sodium,felodipine
33295,19800,1249,1472,potassium,felodipine
33301,19803,1145,1269,codeine,acetaminophen
33335,19826,0,131,retinol,albendazole
33336,19827,277,369,Substance P,paclitaxel
33338,19828,1964,2123,bismuth,ofloxacin
33346,19832,96,175,cortisol,oxytocin
33347,19832,1002,1240,cortisol,oxytocin
33348,19832,1432,1637,cortisol,oxytocin
33365,19845,2003,2308,5-formyltetrahydrofolic acid,ferrous bisglycinate
33381,19853,1687,1840,spread,articaine
33385,19857,0,107,ethanol,testosterone
33387,19857,1231,1467,ethanol,testosterone
33388,19858,702,856,digoxin,activated charcoal
33390,19859,1017,1144,theophylline,omeprazole
33391,19860,0,190,cholesterol,ezetimibe
33395,19861,0,157,sodium,methotrexate
33396,19861,158,353,sodium,methotrexate
33402,19865,0,157,Dopamine,metoclopramide
33403,19866,83,251,dopamine,amphetamine
33413,19867,1023,1201,calcium,aldosterone
33433,19877,1192,1668,folic acid,enalapril
33437,19880,230,570,morphine,ropivacaine
33445,19885,1422,1646,d-glucose,sodium chloride
33463,19898,123,371,Melatonin,melatonin
33468,19899,501,653,d-tryptophan,melatonin
33469,19899,842,1031,melatonin,corticosterone
