head	relation	tail
trans-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B1
cis-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B1
trans-caffeate	inhibits	Solute carrier organic anion transporter family member 1B1
Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
trans-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
cis-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
trans-caffeate	inhibits	Solute carrier organic anion transporter family member 1B3
5,7-Dimethylchrysin	inhibits	Solute carrier organic anion transporter family member 1B3
5,7-Dimethylchrysin	inhibits	Solute carrier organic anion transporter family member 1B1
Phloretin	inhibits	Cytochrome P450 2C19
Phloretin	inhibits	Cytochrome P450 3A4
Phloretin	inhibits	Cytochrome P450 2C9
Phloretin	inhibits	Solute carrier organic anion transporter family member 1B3
Phloretin	inhibits	Solute carrier organic anion transporter family member 1B1
Myricetin	inhibits	Cytochrome P450 2C19
Myricetin 3-digalactoside	inhibits	Cytochrome P450 2C19
Myricetin	inhibits	Cytochrome P450 3A4
Myricetin 3-digalactoside	inhibits	Cytochrome P450 3A4
Myricetin	inhibits	Cytochrome P450 2C9
Myricetin 3-digalactoside	inhibits	Cytochrome P450 2C9
Myricetin	inhibits	Cytochrome P450 1A1
Myricetin 3-digalactoside	inhibits	Cytochrome P450 1A1
Myricetin	inhibits	Cytochrome P450 1B1
Myricetin 3-digalactoside	inhibits	Cytochrome P450 1B1
trans-resveratrol	inhibits	Cytochrome P450 3A4
trans-resveratrol	inhibits	Cytochrome P450 1A2
trans-resveratrol	inhibits	Cytochrome P450 2C19
trans-resveratrol	inhibits	Cytochrome P450 2C9
trans-resveratrol	inhibits	Solute carrier organic anion transporter family member 1B1
trans-resveratrol	inhibits	Solute carrier organic anion transporter family member 1B3
trans-resveratrol	inhibits	Cytochrome P450 1B1
Naphthalen-1-ol	inhibits	Cytochrome P450 1A2
Isopimpinellin	inhibits	Cytochrome P450 3A4
Isopimpinellin	inhibits	Solute carrier organic anion transporter family member 1B1
Isopimpinellin	inhibits	Cytochrome P450 1A1
Isopimpinellin	inhibits	Cytochrome P450 1B1
Isopimpinellin	inhibits	Cytochrome P450 1A2
Isopimpinellin	inhibits	Cytochrome P450 2D6
Isopimpinellin	inhibits	Cytochrome P450 2C9
Isopimpinellin	inhibits	Cytochrome P450 2C19
Epigallocatechin 3,5-digallate	inhibits	Solute carrier organic anion transporter family member 1B1
Epigallocatechin 3,5-digallate	inhibits	Solute carrier organic anion transporter family member 1B3
Hypoxanthine	inhibits	Solute carrier organic anion transporter family member 1B1
Hypoxanthine	inhibits	Solute carrier organic anion transporter family member 1B3
Topiramate	inhibits	Solute carrier organic anion transporter family member 1B1
Topiramate	inhibits	Solute carrier organic anion transporter family member 1B3
4-Phenylbutanoic acid	inhibits	Solute carrier organic anion transporter family member 1B1
4-Phenylbutanoic acid	inhibits	Solute carrier organic anion transporter family member 1B3
(3beta,5beta,8beta,22E,24xi)-Ergosta-6,22-diene-3,5,8-triol	inhibits	ATP-dependent translocase ABCB1
Linonin	inhibits	Solute carrier organic anion transporter family member 1B1
Linonin	inhibits	Solute carrier organic anion transporter family member 1B3
Ginkgolide A	inhibits	Solute carrier organic anion transporter family member 1B1
Ginkgolide A	inhibits	Solute carrier organic anion transporter family member 1B3
Quassin	inhibits	Solute carrier organic anion transporter family member 1B3
Betamipron	inhibits	Solute carrier organic anion transporter family member 1B3
Betamipron	inhibits	Solute carrier organic anion transporter family member 1B1
Dimethylarsinate	inhibits	Solute carrier organic anion transporter family member 1B3
Dimethylarsinate	inhibits	Solute carrier organic anion transporter family member 1B1
Piperonyl acetate	inhibits	Cytochrome P450 3A4
Methyl dihydrojasmonate	inhibits	Solute carrier organic anion transporter family member 1B1
Methyl dihydroepijasmonate	inhibits	Solute carrier organic anion transporter family member 1B1
Methyl dihydrojasmonate	inhibits	Solute carrier organic anion transporter family member 1B3
Methyl dihydroepijasmonate	inhibits	Solute carrier organic anion transporter family member 1B3
D-Glycero-D-manno-heptitol	inhibits	Solute carrier organic anion transporter family member 1B3
D-Glycero-D-manno-heptitol	inhibits	Solute carrier organic anion transporter family member 1B1
Lansoprazole	inhibits	Cytochrome P450 2C19
Lansoprazole	inhibits	Cytochrome P450 2D6
Lansoprazole	inhibits	Solute carrier organic anion transporter family member 1B3
Lansoprazole	inhibits	Solute carrier organic anion transporter family member 1B1
Lansoprazole	inhibits	Cytochrome P450 1A2
Lansoprazole	inhibits	Cytochrome P450 2C8
Flavonoids	inhibits	Solute carrier organic anion transporter family member 1B1
Flavonoids	inhibits	Solute carrier organic anion transporter family member 1B3
Risperidone	inhibits	Cytochrome P450 2C19
Risperidone	inhibits	Cytochrome P450 2D6
African-2(6)-ene	inhibits	Cytochrome P450 2D6
African-2(6)-ene	inhibits	Solute carrier organic anion transporter family member 1B1
African-2(6)-ene	inhibits	Solute carrier organic anion transporter family member 1B3
Ketoconazole	inhibits	Cytochrome P450 3A4
5,7-Dimethoxyisoflavone	inhibits	Solute carrier organic anion transporter family member 1B1
5,7-Dimethoxyisoflavone	inhibits	Solute carrier organic anion transporter family member 1B3
cholest-5-en-3-one	inhibits	Solute carrier organic anion transporter family member 1B1
cholest-5-en-3-one	inhibits	Solute carrier organic anion transporter family member 1B3
(Z)-Resveratrol	inhibits	Cytochrome P450 2C19
(Z)-Resveratrol	inhibits	Cytochrome P450 3A4
(Z)-Resveratrol	inhibits	Cytochrome P450 2D6
