lgn_id,lgn_name,hkg_name,in_mech_kge
191,Canakinumab,Canakinumab,True
192,Candesartan cilexetil,Candesartan cilexetil,True
193,Cangrelor,Cangrelor,True
194,Cannabidiol,Cannabidiol,True
195,Capecitabine,Capecitabine,True
196,Capivasertib,Capivasertib,True
197,Capmatinib,Capmatinib,True
198,Captopril,Captopril,True
199,Carbamazepine,Carbamazepine,True
200,Carbenicillin,Carbenicillin,True
201,Carbinoxamine,Carbinoxamine,True
202,Carbocisteine,Carbocisteine,True
203,Carboplatin,Carboplatin,True
204,Carglumic acid,Carglumic acid,True
205,Cariprazine,Cariprazine,True
206,Carisoprodol,Carisoprodol,True
207,Carmustine,Carmustine,True
208,Carvedilol,Carvedilol,True
209,Cedazuridine,Cedazuridine,True
210,Cefaclor,Cefaclor,True
211,Cefadroxil,Cefadroxil,True
212,Cefamandole,Cefamandole,True
213,Cefdinir,Cefdinir,True
214,Cefditoren,Cefditoren,True
215,Cefixime,Cefixime,True
216,Cefoperazone,Cefoperazone,True
217,Cefotetan,Cefotetan,True
218,Cefpodoxime,Cefpodoxime,True
219,Cefprozil,Cefprozil,True
220,Cefradine,Cefradine,True
221,Ceftibuten,Ceftibuten,True
222,Cefuroxime,Cefuroxime,True
223,Celecoxib,Celecoxib,True
224,Celiprolol,Celiprolol,True
225,Cenobamate,Cenobamate,True
226,Centella asiatica,,False
227,Cephalexin,Cephalexin,True
228,Ceritinib,Ceritinib,True
229,Cerivastatin,Cerivastatin,True
230,Certoparin,,False
231,Cetirizine,Cetirizine,True
232,Chloral hydrate,,False
233,Chlorambucil,Chlorambucil,True
234,Chloramphenicol,Chloramphenicol,True
235,Chlorcyclizine,Chlorcyclizine,True
236,Chlordiazepoxide,Chlordiazepoxide,True
237,Chlorhexidine,Chlorhexidine,True
238,Chloroquine,Chloroquine,True
239,Chlorpheniramine,Chlorpheniramine,True
240,Chlorpromazine,Chlorpromazine,True
241,Chlorpropamide,Chlorpropamide,True
242,Chlorprothixene,Chlorprothixene,True
243,Chlorthalidone,Chlorthalidone,True
244,Chlorzoxazone,Chlorzoxazone,True
245,Cholestyramine,,False
246,Cholic Acid,Cholic Acid,True
247,Choline C-11,,False
248,Chromic chloride,Chromic chloride,True
249,Chromium,Chromium,True
250,Chromium nicotinate,Chromium nicotinate,True
251,Chromium picolinate,,False
252,Chymotrypsin,,False
253,Cilazapril,Cilazapril,True
254,Cilostazol,Cilostazol,True
255,Cimetidine,Cimetidine,True
256,Cinacalcet,Cinacalcet,True
257,Cinolazepam,Cinolazepam,True
258,Ciprofloxacin,Ciprofloxacin,True
259,Cisapride,Cisapride,True
260,Cisplatin,Cisplatin,True
261,Citalopram,Citalopram,True
262,Cladribine,Cladribine,True
263,Clarithromycin,Clarithromycin,True
264,Clavulanic acid,Clavulanic acid,True
265,Clemastine,Clemastine,True
266,Clidinium,Clidinium,True
267,Clindamycin,Clindamycin,True
268,Clobazam,Clobazam,True
269,Clodronic acid,Clodronic acid,True
270,Clofarabine,Clofarabine,True
271,Clofazimine,Clofazimine,True
272,Clofedanol,Clofedanol,True
273,Clofibrate,Clofibrate,True
274,Clomifene,Clomifene,True
275,Clomipramine,Clomipramine,True
276,Clonazepam,Clonazepam,True
277,Clonidine,Clonidine,True
278,Clopidogrel,Clopidogrel,True
279,Clorazepic acid,Clorazepic acid,True
280,Clorindione,,False
281,Cloxacillin,Cloxacillin,True
282,Cloxazolam,Cloxazolam,True
283,Clozapine,Clozapine,True
284,Cobicistat,Cobicistat,True
285,Cobimetinib,Cobimetinib,True
286,Cocarboxylase,Cocarboxylase,True
287,Codeine,Codeine,True
288,Coenzyme M,,False
289,Colchicine,Colchicine,True
290,Colesevelam,,False
291,Colestipol,,False
292,Conjugated estrogens,Conjugated estrogens,True
293,Copanlisib,Copanlisib,True
294,Copper oxodotreotide Cu-64,Copper oxodotreotide Cu-64,True
295,Cortisone acetate,Cortisone acetate,True
296,Coumarin,Coumarin,True
297,Crizotinib,Crizotinib,True
298,Crofelemer,Crofelemer,True
299,Cromoglicic acid,Cromoglicic acid,True
300,Cyanocobalamin,Cyanocobalamin,True
301,Cyclandelate,Cyclandelate,True
302,Cyclizine,Cyclizine,True
303,Cyclobenzaprine,Cyclobenzaprine,True
304,Cyclophosphamide,Cyclophosphamide,True
305,Cycloserine,Cycloserine,True
306,Cyclosporine,Cyclosporine,True
307,Cyproheptadine,Cyproheptadine,True
308,Cyproterone acetate,Cyproterone acetate,True
309,Cysteamine,Cysteamine,True
310,Dabigatran,Dabigatran,True
311,Dabigatran etexilate,Dabigatran etexilate,True
312,Dabrafenib,Dabrafenib,True
313,Dacarbazine,Dacarbazine,True
314,Daclatasvir,Daclatasvir,True
315,Dacomitinib,Dacomitinib,True
316,Dalfampridine,Dalfampridine,True
317,Dalteparin,Dalteparin,True
318,Danaparoid,Danaparoid,True
319,Danazol,Danazol,True
320,Danicopan,Danicopan,True
321,Dantrolene,Dantrolene,True
322,Dapagliflozin,Dapagliflozin,True
323,Daprodustat,Daprodustat,True
324,Dapsone,Dapsone,True
325,Darbepoetin alfa,Darbepoetin alfa,True
326,Darexaban,Darexaban,True
327,Daridorexant,Daridorexant,True
328,Darifenacin,Darifenacin,True
329,Darolutamide,Darolutamide,True
330,Darunavir,Darunavir,True
331,Dasabuvir,Dasabuvir,True
332,Dasatinib,Dasatinib,True
333,Debrisoquine,Debrisoquine,True
334,Deferasirox,Deferasirox,True
335,Deferiprone,Deferiprone,True
336,Defibrotide,Defibrotide,True
337,Deflazacort,Deflazacort,True
338,Delafloxacin,Delafloxacin,True
339,Delamanid,Delamanid,True
340,Delavirdine,Delavirdine,True
341,Demeclocycline,Demeclocycline,True
342,Denosumab,Denosumab,True
343,Desipramine,Desipramine,True
344,Desirudin,Desirudin,True
345,Desloratadine,Desloratadine,True
346,Desmoteplase,Desmoteplase,True
347,Desvenlafaxine,Desvenlafaxine,True
348,Deucravacitinib,Deucravacitinib,True
349,Deuruxolitinib,Deuruxolitinib,True
350,Deutetrabenazine,Deutetrabenazine,True
351,Dexamethasone,Dexamethasone,True
352,Dexbrompheniramine,Dexbrompheniramine,True
353,Dexchlorpheniramine maleate,Dexchlorpheniramine maleate,True
354,Dexfenfluramine,Dexfenfluramine,True
355,Dexlansoprazole,Dexlansoprazole,True
356,Dexmethylphenidate,Dexmethylphenidate,True
357,Dextran,,False
358,Dextroamphetamine,Dextroamphetamine,True
359,Dextromethorphan,Dextromethorphan,True
360,Dextropropoxyphene,Dextropropoxyphene,True
361,Dextrothyroxine,Dextrothyroxine,True
362,Diamorphine,Diamorphine,True
363,Diazepam,Diazepam,True
364,Dichloralphenazone,,False
365,Diclofenac,Diclofenac,True
366,Diclofenamide,Diclofenamide,True
367,Dicloxacillin,Dicloxacillin,True
368,Dicoumarol,Dicoumarol,True
369,Dicyclomine,Dicyclomine,True
370,Didanosine,Didanosine,True
371,Dienogest,Dienogest,True
372,Diethylcarbamazine,Diethylcarbamazine,True
373,Diethylpropion,Diethylpropion,True
374,Difelikefalin,Difelikefalin,True
375,Difenoxin,Difenoxin,True
376,Diflunisal,Diflunisal,True
377,Digitoxin,Digitoxin,True
378,Digoxin,Digoxin,True
379,Dihydrocodeine,Dihydrocodeine,True
380,Dihydroergotamine,Dihydroergotamine,True
381,Diiodohydroxyquinoline,,False
382,Diltiazem,Diltiazem,True
383,Dimenhydrinate,Dimenhydrinate,True
384,Dimethyl fumarate,Dimethyl fumarate,True
385,Diosmin,Diosmin,True
386,Diphenadione,Diphenadione,True
387,Diphenhydramine,Diphenhydramine,True
388,Diphenoxylate,Diphenoxylate,True
389,Dipyridamole,Dipyridamole,True
390,Diroximel fumarate,Diroximel fumarate,True
391,Disopyramide,Disopyramide,True
392,Disulfiram,Disulfiram,True
393,Ditazole,,False
394,Docetaxel,Docetaxel,True
395,Dofetilide,Dofetilide,True
396,Dolasetron,Dolasetron,True
397,Dolutegravir,Dolutegravir,True
398,Domperidone,Domperidone,True
399,Donepezil,Donepezil,True
400,Doravirine,Doravirine,True
401,Doxazosin,Doxazosin,True
402,Doxepin,Doxepin,True
403,Doxercalciferol,Doxercalciferol,True
404,Doxorubicin,Doxorubicin,True
405,Doxycycline,Doxycycline,True
406,Doxylamine,Doxylamine,True
407,Dronabinol,Dronabinol,True
408,Dronedarone,Dronedarone,True
409,Drospirenone,Drospirenone,True
410,Drotrecogin alfa,Drotrecogin alfa,True
411,Droxidopa,Droxidopa,True
412,Dulaglutide,Dulaglutide,True
413,Duloxetine,Duloxetine,True
414,Dutasteride,Dutasteride,True
415,Duvelisib,Duvelisib,True
416,Dyclonine,Dyclonine,True
417,Ebastine,Ebastine,True
418,Edaravone,Edaravone,True
419,Edetic acid,Edetic acid,True
420,Edoxaban,Edoxaban,True
421,Efavirenz,Efavirenz,True
422,Eflornithine,Eflornithine,True
423,Elacestrant,Elacestrant,True
424,Elafibranor,Elafibranor,True
425,Elagolix,Elagolix,True
426,Elbasvir,Elbasvir,True
427,Eletriptan,Eletriptan,True
428,Elexacaftor,Elexacaftor,True
429,Eliglustat,Eliglustat,True
430,Eltrombopag,Eltrombopag,True
431,Eluxadoline,Eluxadoline,True
432,Elvitegravir,Elvitegravir,True
433,Empagliflozin,Empagliflozin,True
434,Emtricitabine,Emtricitabine,True
435,Enalapril,Enalapril,True
436,Enasidenib,Enasidenib,True
437,Encorafenib,Encorafenib,True
438,Enoxaparin,Enoxaparin,True
439,Entacapone,Entacapone,True
440,Entecavir,Entecavir,True
441,Entrectinib,Entrectinib,True
442,Enzalutamide,Enzalutamide,True
443,Epirubicin,Epirubicin,True
444,Eplerenone,Eplerenone,True
445,Eplontersen,Eplontersen,True
446,Epoprostenol,Epoprostenol,True
447,Eprosartan,Eprosartan,True
448,Eptifibatide,Eptifibatide,True
449,Eravacycline,Eravacycline,True
450,Erdafitinib,Erdafitinib,True
451,Ergoloid mesylate,Ergoloid mesylate,True
452,Ergotamine,Ergotamine,True
453,Erlotinib,Erlotinib,True
454,Ertugliflozin,Ertugliflozin,True
455,Erythrityl tetranitrate,Erythrityl tetranitrate,True
456,Erythromycin,Erythromycin,True
