lgn_food_id,food_name,has_fp,rep_compound,rep_smiles,strategy
832,5-Formyltetrahydrofolic Acid,True,,,original
833,Eriodictyol 7-Rutinoside,True,,,original
834,Digoxin,True,,,original
835,(±)-Erythro-Isoleucine,True,,,original
836,Riboflavine,True,,,original
837,(9Z)-Lycopene,True,,,original
838,Phosphorylcholine,True,,,original
839,Bradykinin,True,,,original
840,Titanium,True,,,original
841,Arachidonic Acid,True,,,original
842,L-Dopa,True,,,original
843,Polyamines,True,,,original
844,Epinephrine,True,,,original
845,Kynurenine,True,,,original
846,Deoxyadenosine,True,,,original
847,S-Adenosyl-L-Methionine,True,,,original
848,Hexyl 2-Methylpropanoate,True,,,original
849,Benzyl Alcohol,True,,,original
850,Sulfide,True,,,original
851,Valproic Acid,True,,,original
852,Lanthanum,True,,,original
853,Boron,True,,,original
854,Ceramide,True,,,original
855,Calcium Oxalate,True,,,original
856,Fluoride,True,,,original
857,Maltodextrin,True,,,original
858,Prostaglandin E2,True,,,original
859,Trichloroacetic Acid,True,,,original
860,Methylmalonic Acid,True,,,original
861,Elaidic Acid,True,,,original
862,Cytarabine,True,,,original
863,Oxypurinol,True,,,original
864,Glycerol Trioleate,True,,,original
865,Liothyronine,True,,,original
866,Silicon,True,,,original
867,2-Propanol,True,,,original
868,Urea,True,,,original
869,Nadph,True,,,original
870,Thromboxane B2,True,,,original
871,Angiotensin Ii,True,,,original
872,Trans-Resveratrol,True,,,original
873,Acetate,True,,,original
874,Thymidine,True,,,original
875,Glycerol Trilinoleate,True,,,original
876,Androstenedione,True,,,original
877,Calamene,True,,,original
878,Agmatine,True,,,original
879,Loperamide,True,,,original
880,Betaine,True,,,original
881,Scopolamine,True,,,original
882,Gadolinium,True,,,original
883,Adenosine Monophosphate,True,,,original
884,Oxalate,True,,,original
885,Simvastatin,True,,,original
886,(E)-2-Phenyl-2-Butenal,True,,,original
887,Nitrous Oxide,True,,,original
888,Cholestanol,True,,,original
889,Methane,True,,,original
890,Nicotinamide,True,,,original
891,Propene,True,,,original
892,Fluticasone,True,,,original
893,Rebaudioside A,True,,,original
894,Glutathione Disulfide,True,,,original
895,Phosphocreatine,True,,,original
896,Papaverine,True,,,original
897,Sphingosine 1-Phosphate,True,,,original
898,N-Acetylneuraminic Acid,True,,,original
899,Thromboxane,True,,,original
900,Butyrylcholine,True,,,original
901,Ondansetron,True,,,original
902,Mevalonic Acid,True,,,original
903,Selenomethionine,True,,,original
904,5-Aminolevulinic Acid,True,,,original
905,Pravastatin,True,,,original
906,Clopidogrel,True,,,original
907,Aflatoxin B1,True,,,original
908,Nickel,True,,,original
909,3-Methoxy-4-Hydroxyphenylacetic Acid,True,,,original
910,Dihydrotestosterone,True,,,original
911,L-Cystathionine,True,,,original
912,Esters,True,,,original
913,Epicatechin 3-Gallate,True,,,original
