head	relation	tail
Megestrol acetate	activates	PGR
Liothyronine	activates	THRA
Atorvastatin	activates	AHR
Benzphetamine	activates	ADRA2A
Midodrine	activates	ADRA1D
Ergoloid mesylate	activates	DRD1
Rifaximin	activates	NR1I2
Amiodarone	activates	PPARA
Cabergoline	activates	HTR1A
Methoxyflurane	activates	GABRA1
Midodrine	activates	ADRA1B
Hydrocortisone	activates	NR3C1
Pergolide	activates	ADRA2A
Nafarelin	activates	GNRHR
Hydrocodone	activates	OPRM1
Modafinil	activates	ADRA1B
Droxidopa	activates	ADRB3
Estetrol	activates	ESR2
Trimipramine	activates	HTR2A
Bromocriptine	activates	ADRA2A
Apomorphine	activates	DRD4
Meprobamate	activates	GABRA6
Fentanyl	activates	OPRK1
Estrone	activates	ESR1
Pindolol	activates	ADRB2
Diosmin	activates	AHR
Lofexidine	activates	HTR7
Clozapine	activates	CHRM2
Zolpidem	activates	GABRG2
Amitriptyline	activates	NTRK2
Methoxyflurane	activates	GLRA1
Nicotine	activates	CHRNA4
Fenofibrate	activates	PPARA
Pramipexole	activates	DRD2
Iloprost	activates	PTGIR
Pergolide	activates	ADRA1A
Bezafibrate	activates	PPARD
Medroxyprogesterone acetate	activates	ESR1
Dihydroergotamine	activates	HTR1F
Dextropropoxyphene	activates	OPRD1
Pergolide	activates	DRD5
Bromocriptine	activates	ADRA1B
Sumatriptan	activates	HTR1F
Apomorphine	activates	HTR2C
Pergolide	activates	HTR1D
Interferon alfa-n1	activates	IFNAR2
Nicotine	activates	CHRNB2
Liraglutide	activates	GLP1R
Isosorbide dinitrate	activates	NPR1
Pilocarpine	activates	CHRM5
Bromocriptine	activates	DRD5
Xanomeline	activates	CHRM2
Meprobamate	activates	GABRA5
Norethisterone	activates	AR
Tretinoin	activates	RARA
Sodium oxybate	activates	SLC52A2
Cannabidiol	activates	ADORA1
Dexamethasone	activates	ANXA1
Fenfluramine	activates	HTR2B
Levetiracetam	activates	SV2A
Brimonidine	activates	ADRA2C
Prednisone	activates	NR3C1
Zinc sulfate, unspecified form	activates	BDKRB1
Estradiol valerate	activates	ESR1
Atomoxetine	activates	OPRK1
Nicotine	activates	CHRNA5
Cannabidiol	activates	TRPV1
Amitriptyline	activates	OPRD1
Rizatriptan	activates	HTR1D
Fenoprofen	activates	PPARG
Danazol	activates	PGR
Lofexidine	activates	ADRA2A
Lindane	activates	NR1I2
Conjugated estrogens	activates	ESR1
Bromocriptine	activates	DRD2
Bromocriptine	activates	ADRA1D
Droxidopa	activates	ADRA2A
Oxymorphone	activates	OPRM1
Heparin	activates	FGF2
Deflazacort	activates	NR3C1
Eletriptan	activates	HTR1A
Apomorphine	activates	HTR1A
Pramlintide	activates	GLP1R
Norgestrel	activates	PGR
Dextromethorphan	activates	SIGMAR1
Ergotamine	activates	ADRA2A
Mecasermin	activates	INSR
Treprostinil	activates	PPARD
Pergolide	activates	DRD2
Insulin aspart	activates	INSR
Warfarin	activates	NR1I2
Clonazepam	activates	NR1I2
Lorcaserin	activates	HTR2C
Etretinate	activates	RARB
Alteplase	activates	PLG
Lixisenatide	activates	GLP1R
Progesterone	activates	AR
Glutethimide	activates	GABRA1
Trimebutine	activates	CACNA1G
Haloperidol	activates	DRD3
Amiodarone	activates	PPARGC1B
Flunitrazepam	activates	TSPO
Procaterol	activates	ADRB2
Phenylpropanolamine	activates	DRD1
Fenfluramine	activates	HTR2C
Mecasermin rinfabate	activates	IGF1R
Insulin human	activates	INSR
Levodopa	activates	DRD4
Erythromycin	activates	MLNR
Fenoterol	activates	ADRB2
Epoprostenol	activates	P2RY12
Memantine	activates	DRD2
Topiramate	activates	GABRA1
Diclofenac	activates	KCNQ3
Eluxadoline	activates	OPRM1
Estradiol cypionate	activates	ESR2
Zolpidem	activates	GABRA2
Methacholine	activates	CHRM1
Clozapine	activates	HRH4
Estradiol cypionate	activates	NR1I2
Amisulpride	activates	OPRM1
Insulin glulisine	activates	IGF1R
Estradiol acetate	activates	ESR1
Diclofenac	activates	KCNQ2
Dihydroergotamine	activates	ADRA2A
Tretinoin	activates	RXRG
Rizatriptan	activates	HTR1B
Cabergoline	activates	DRD2
Zolmitriptan	activates	HTR1A
Eletriptan	activates	HTR1B
Iloprost	activates	PTGER1
Norgestimate	activates	PGR
Celiprolol	activates	ADRB2
Diazepam	activates	TSPO
Balsalazide	activates	PPARG
Samidorphan	activates	OPRK1
Zolmitriptan	activates	HTR1D
Meperidine	activates	OPRM1
Rizatriptan	activates	HTR1A
Yohimbine	activates	HTR1A
Clonidine	activates	ADRA2A
Heparin	activates	FGF19
Insulin detemir	activates	IGF1R
Fenoterol	activates	ADRB1
Methadone	activates	OPRM1
Estrone sulfate	activates	ESR1
Ritonavir	activates	NR1I2
Lofexidine	activates	ADRA1A
Sumatriptan	activates	HTR1A
Fenfluramine	activates	HTR2A
Bromocriptine	activates	ADRA2B
Diamorphine	activates	OPRM1
Meclizine	activates	NR1I3
