head	relation	tail
Griseofulvin	induces	CYP1A2
Dexamethasone	induces	CYP1A1
Dexamethasone	induces	CYP2B6
Armodafinil	induces	CYP3A5
Dexamethasone	induces	CYP4A11
Dexamethasone	induces	CYP3A7
Cholic Acid	induces	SLCO1A2
Carbamazepine	induces	CYP3A4
Clofibrate	induces	SERPINA7
Dextroamphetamine	induces	ADRA1A
Rifampin	induces	CYP2C19
Cladribine	induces	PARP1
Rilpivirine	induces	CYP3A4
Sapropterin	induces	PTGS2
Omeprazole	induces	CYP1A2
Relugolix	induces	CYP3A4
Clobazam	induces	CYP3A4
Phenobarbital	induces	ABCB1
Cholic Acid	induces	SLCO1B1
Olmesartan	induces	ABCC2
Sucralfate	induces	EGF
Brigatinib	induces	CYP3A4
Taletrectinib	induces	CYP3A4
Peginterferon alfa-2b	induces	CYP2C9
Acetylsalicylic acid	induces	CYP2C19
Cefradine	induces	CYP3A4
Nelfinavir	induces	CYP2C19
Iloprost	induces	PDE4A
Isavuconazonium	induces	CYP2C8
Nirogacestat	induces	CYP2C19
Methadone	induces	CYP2B6
Vorasidenib	induces	CYP2C8
Midostaurin	induces	CYP2C9
Suzetrigine	induces	CYP2C8
Osimertinib	induces	CYP3A4
Lamotrigine	induces	GABRA1
Midostaurin	induces	CYP1A2
Indomethacin	induces	EIF2AK2
Atrasentan	induces	CYP2B6
Lumacaftor	induces	ABCB1
Bendroflumethiazide	induces	KCNMA1
Dabrafenib	induces	CYP2B6
Omaveloxolone	induces	CYP2C8
Riluzole	induces	SLC7A11
Ritonavir	induces	ABCC1
Nylidrin	induces	COMT
Opicapone	induces	CYP2C19
Terazosin	induces	TGFB1
Efavirenz	induces	CYP3A5
Diclofenac	induces	ABCB1
Rifamycin	induces	CYP2C9
Lorlatinib	induces	CYP3A4
Amprenavir	induces	ABCB1
Lumacaftor	induces	CYP3A4
Apalutamide	induces	SLCO1B1
Omeprazole	induces	CYP3A4
Ritonavir	induces	CYP2B6
Tecovirimat	induces	CYP2B6
Progesterone	induces	ABCB1
Budesonide	induces	CYP3A5
Pacritinib	induces	CYP3A4
Rufinamide	induces	CYP3A4
Pitolisant	induces	CYP2B6
Griseofulvin	induces	CYP3A4
Testosterone undecanoate	induces	CYP3A4
Pirtobrutinib	induces	CYP3A4
Eprosartan	induces	ABCC2
Modafinil	induces	CYP2C9
Repotrectinib	induces	CYP2C8
Momelotinib	induces	UGT1A1
Ticagrelor	induces	CYP2C9
Deflazacort	induces	CYP3A5
Lopinavir	induces	ABCB1
Dexamethasone	induces	CYP3A5
Zinc sulfate, unspecified form	induces	APOA1
Midostaurin	induces	CYP2B6
Cladribine	inhibits	RRM2
Acacetin	inhibits	Cytochrome P450 1A1
Fomepizole	inhibits	CYP2A6
Bortezomib	inhibits	CYP2C9
Ivacaftor	inhibits	CYP3A5
Mefenamic acid	inhibits	PTGS1
Oxoglaucine	inhibits	Cytochrome P450 2D6
Aripiprazole	inhibits	ADRA1B
Brexanolone	inhibits	GABRD
Daidzein	inhibits	Cytochrome P450 2C19
Rifamycin	inhibits	CYP3A4
Opicapone	inhibits	CYP2B6
Dasatinib	inhibits	ABCG2
QUIZARTINIB	inhibits	Receptor-type tyrosine-protein kinase FLT3
Colchicine	inhibits	CYP2C8
Dordaviprone	inhibits	SLC47A2
Tipranavir	inhibits	SLCO2B1
Simeprevir	inhibits	SLC10A1
Estradiol acetate	inhibits	SLCO1B1
Lonafarnib	inhibits	SLCO1B1
Thalidomide	inhibits	TNF
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 2B6
Sulindac	inhibits	AKR1B10
Levofloxacin	inhibits	SLC47A2
ABIVERTINIB	inhibits	Tyrosine-protein kinase BTK
3,8''-Biapigenin	inhibits	Cytochrome P450 3A4
Dasatinib	inhibits	YES1
Nilotinib	inhibits	SLCO1B1
Valdecoxib	inhibits	Solute carrier organic anion transporter family member 1B1
Rolapitant	inhibits	ABCB1
Cannabidiol	inhibits	ALOX5
Lenvatinib	inhibits	RET
Dronedarone	inhibits	THRA
Chloramphenicol	inhibits	CYP2C19
Fluconazole	inhibits	ERG11
Flurbiprofen	inhibits	UGT1A1
Meperidine	inhibits	GRIN1
Cysteamine	inhibits	Cytochrome P450 3A4
Vorinostat	inhibits	HDAC6
CFI-400945	inhibits	Serine/threonine-protein kinase PLK4
Dordaviprone	inhibits	DRD2
Xanthotoxin	inhibits	Cytochrome P450 3A4
Chrysin	inhibits	Cytochrome P450 1B1
Istradefylline	inhibits	SLC47A2
Fd&c yellow no. 5, calcium lake	inhibits	Solute carrier organic anion transporter family member 1B1
Estradiol valerate	inhibits	CYP1A2
Methylergometrine	inhibits	CYP3A4
Regorafenib	inhibits	KDR
Defactinib	inhibits	SLC47A2
Nirmatrelvir	inhibits	ABCB1
Midostaurin	inhibits	FLT3
Apigenin	inhibits	Cytochrome P450 2C19
Fenoprofen	inhibits	PTGS1
Zonisamide	inhibits	MAOB
Atazanavir	inhibits	pol
Ritonavir	inhibits	CYP3A5
Rifampin	inhibits	SLCO1A2
Lenvatinib	inhibits	SLC22A6
Drospirenone	inhibits	NR3C2
Gabapentin	inhibits	CACNA2D2
Tetracycline	inhibits	SLC22A8
Pioglitazone	inhibits	SLCO1B1
Biochanin A	inhibits	Cytochrome P450 2C9
Estradiol cypionate	inhibits	CYP1A2
Tipranavir	inhibits	CYP2D6
Doxylamine	inhibits	CHRM1
Paritaprevir	inhibits	NS3/4A
Estradiol valerate	inhibits	SLCO2B1
Palbociclib	inhibits	CDK6
Desipramine	inhibits	SLC6A2
Fexinidazole	inhibits	SLCO1B1
Yamogenin	inhibits	Solute carrier organic anion transporter family member 1B1
Erythromycin	inhibits	CYP3A5
Ivosidenib	inhibits	SLC22A8
Fostamatinib	inhibits	NTRK2
cholest-5-en-3-one	inhibits	Solute carrier organic anion transporter family member 1B1
Thiopental	inhibits	CHRNA4
Toremifene	inhibits	SHBG
Hydroquinone	inhibits	Solute carrier organic anion transporter family member 1B3
Fostamatinib	inhibits	DCLK2
Melezitose	inhibits	Solute carrier organic anion transporter family member 1B3
MIRANSERTIB	inhibits	Serine/threonine-protein kinase AKT
Rilzabrutinib	inhibits	SLCO1B3
Asunaprevir	inhibits	SLCO2B1
Osilodrostat	inhibits	SLC22A2
Zonisamide	inhibits	CACNA1I
Cenobamate	inhibits	CYP3A4
Methyl dihydroepijasmonate	inhibits	Solute carrier organic anion transporter family member 1B1
Cefadroxil	inhibits	SLC22A8
Lenvatinib	inhibits	SLC22A2
Risperidone	inhibits	ADRA1B
Methadone	inhibits	UGT2B4
Telithromycin	inhibits	SLCO1B1
Glyburide	inhibits	ABCC2
Encorafenib	inhibits	CYP3A7
Rosuvastatin	inhibits	SLCO1B1
Cimetidine	inhibits	SLC22A11
Defactinib	inhibits	ABCG2
[6]-Shogaol	inhibits	Cytochrome P450 3A4
Ciprofloxacin	inhibits	TOP2A
Simeprevir	inhibits	NS3/4A
Atrasentan	inhibits	SLCO1B1
Dihydroclusin	inhibits	Cytochrome P450 3A4
Selegiline	inhibits	TACR1
Cimetidine	inhibits	SLC22A2
SCH-900776	inhibits	Serine/threonine-protein kinase Chk1
Fostamatinib	inhibits	RIOK3
Carvedilol	inhibits	KCNH2
Chlorpheniramine	inhibits	SLC6A2
Oxcarbazepine	inhibits	CYP3A5
Haloperidol	inhibits	HTR6
Paliperidone	inhibits	ABCB1
Nelfinavir	inhibits	CYP3A7
Delavirdine	inhibits	CYP3A7
Fostamatinib	inhibits	EPHA2
Cefadroxil	inhibits	penA
Pexidartinib	inhibits	FLT3
Benzamide	inhibits	Cytochrome P450 3A4
beta-Amyrin acetate	inhibits	Solute carrier organic anion transporter family member 1B3
Procarbazine	inhibits	MAOA
Cyclosporine	inhibits	PPP3CA
Fostamatinib	inhibits	TNIK
Ceftibuten	inhibits	SLC15A1
Bumetanide	inhibits	SLC22A11
Cyclobenzaprine	inhibits	HTR2B
salicyl alcohol	inhibits	Solute carrier organic anion transporter family member 1B3
Pinostrobin chalcone	inhibits	Cytochrome P450 2C9
Rofecoxib	inhibits	ABCC4
L-Canavanine	inhibits	Cytochrome P450 3A4
LINIFANIB	inhibits	Receptor-type tyrosine-protein kinase FLT3
Taletrectinib	inhibits	SLCO1B1
Gilteritinib	inhibits	ALK
Astemizole	inhibits	ABCB1
Fostamatinib	inhibits	IRAK4
Digitoxin	inhibits	ATP1A2
Furosemide	inhibits	SLC22A8
BAY-1217389	inhibits	Dual specificity protein kinase TTK
Apiumetrin	inhibits	Solute carrier organic anion transporter family member 1B1
Atropine	inhibits	CHRM2
Lisinopril	inhibits	ACE
Olaparib	inhibits	PARP1
Dextropropoxyphene	inhibits	CYP2D6
Lemborexant	inhibits	HCRTR2
Nilotinib	inhibits	ABCB1
Tolnaftate	inhibits	Cytochrome P450 2C19
Primidone	inhibits	TRPM3
Etoposide	inhibits	ABCB1
Eltrombopag	inhibits	UGT1A1
Capsaicin	inhibits	Cytochrome P450 2D6
MASOPROCOL	inhibits	Receptor tyrosine-protein kinase erbB-2
Deutivacaftor	inhibits	ABCG2
MG(18:0e/0:0/0:0)	inhibits	Solute carrier organic anion transporter family member 1B3
Regorafenib	inhibits	TEK
AVUTOMETINIB	inhibits	Dual specificity mitogen-activated protein kinase kinase 2
Myricetin 3-digalactoside	inhibits	Cytochrome P450 3A4
Cefaclor	inhibits	SLC22A8
Quinidine	inhibits	CYP2B6
Voxilaprevir	inhibits	ABCB1
Quetiapine	inhibits	HRH1
Fostamatinib	inhibits	PIK3C2B
Zafirlukast	inhibits	CYP2C19
Salicin	inhibits	Solute carrier organic anion transporter family member 1B3
Trimipramine	inhibits	ADRA2A
Nifedipine	inhibits	CACNA1D
Nadroparin	inhibits	FOS
Ribavirin	inhibits	L
Quinidine	inhibits	SLCO1A2
Nabilone	inhibits	CYP2E1
Methotrimeprazine	inhibits	ADRA1B
Dabrafenib	inhibits	SLCO1B1
Ulipristal	inhibits	NR3C1
Furosemide	inhibits	PGD
trans-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Estramustine	inhibits	ABCB1
Doxorubicin	inhibits	ABCC10
Pirfenidone	inhibits	CYP2D6
Emodin	inhibits	Cytochrome P450 1B1
Nintedanib	inhibits	SLC22A1
Chlorpromazine	inhibits	ABCB1
Minocycline	inhibits	rpsD
Linamarin	inhibits	Solute carrier organic anion transporter family member 1B3
Omeprazole	inhibits	ABCB1
Bergamottin	inhibits	Cytochrome P450 3A4
Antipyrine	inhibits	PTGS2
Nisoldipine	inhibits	CACNA2D1
Lansoprazole	inhibits	CYP2C9
Dofetilide	inhibits	KCNK2
Encorafenib	inhibits	ABCG2
Tirucallol	inhibits	Solute carrier organic anion transporter family member 1B3
Lefamulin	inhibits	rplV
Pipotiazine	inhibits	DRD2
Gemfibrozil	inhibits	CYP2C19
Periciazine	inhibits	ADRA1B
Macitentan	inhibits	EDNRB
Sulfasalazine	inhibits	IKBKB
Tolnaftate	inhibits	Cytochrome P450 3A4
Nintedanib	inhibits	ABCB1
EX-527	inhibits	NAD-dependent protein deacetylase sirtuin-1
Methotrimeprazine	inhibits	CHRM1
Rifampin	inhibits	SLC22A6
Clindamycin	inhibits	rplA
Fostemsavir	inhibits	SLCO1B3
RAVOXERTINIB	inhibits	Mitogen-activated protein kinase 3
AFATINIB DIMALEATE	inhibits	Receptor tyrosine-protein kinase erbB-4
Acacetin 7-diglucoside	inhibits	Cytochrome P450 1A2
Escitalopram	inhibits	HRH1
BOSUTINIB	inhibits	Tyrosine-protein kinase Lyn
Zonisamide	inhibits	SCN2B
Istradefylline	inhibits	POU2F2
Lurasidone	inhibits	HTR2A
Azelaic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Xanthoxylin	inhibits	Solute carrier organic anion transporter family member 1B3
Telotristat ethyl	inhibits	CYP2C8
Flunarizine	inhibits	CACNA1H
Cholic Acid	inhibits	FECH
Oleanolic acid	inhibits	Solute carrier organic anion transporter family member 1B3
[8]-Shogaol	inhibits	Cytochrome P450 2C9
Levetiracetam	inhibits	HTR3A
Bupropion	inhibits	SLC6A4
Ripretinib	inhibits	KDR
CEP-2563 DIHYDROCHLORIDE	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
Ethambutol	inhibits	CYP2C19
[6]-Paradol	inhibits	Cytochrome P450 2C8
Olutasidenib	inhibits	ABCG2
Fluvoxamine	inhibits	CYP2C9
Luteolin	inhibits	Cytochrome P450 1A2
Pindolol	inhibits	HTR1A
Fostamatinib	inhibits	TYK2
Apalutamide	inhibits	GABRA1
Galangin	inhibits	Cytochrome P450 1A2
Cyproheptadine	inhibits	HTR2B
Anastrozole	inhibits	CYP1A2
Asenapine	inhibits	HTR2A
Primaquine	inhibits	ABCB1
L-Acetylleucine	inhibits	ABCB11
Lomefloxacin	inhibits	SLC22A5
Idelalisib	inhibits	PIK3CD
hederagenin	inhibits	Solute carrier organic anion transporter family member 1B1
Ribociclib	inhibits	CDK4
Cariprazine	inhibits	CYP2C19
PAZOPANIB HYDROCHLORIDE	inhibits	Tyrosine-protein kinase ITK/TSK
Avocadene 1-acetate	inhibits	Solute carrier organic anion transporter family member 1B3
SAMOTOLISIB	inhibits	Serine/threonine-protein kinase mTOR
Aminosalicylic acid	inhibits	MPO
Piroxicam	inhibits	PTGS2
Clozapine	inhibits	HTR1D
Brigatinib	inhibits	SLC47A2
Aminosalicylic acid	inhibits	CHUK
Moclobemide	inhibits	MAOB
Flutamide	inhibits	AR
Stiripentol	inhibits	LDHA
Atrasentan	inhibits	SLCO1B3
Liotrix	inhibits	SLC22A8
Paliperidone	inhibits	DRD1
6-Hydroxyluteolin 6,7,3',4'-tetramethyl ether	inhibits	Cytochrome P450 2D6
REBASTINIB	inhibits	Tyrosine-protein kinase ABL1
Avutometinib	inhibits	RAF1
Deferasirox	inhibits	UGT1A9
Ofloxacin	inhibits	ABCC2
Capivasertib	inhibits	SLC47A1
Nelfinavir	inhibits	CYP3A4
hydroquinone-O-β-D-glucopyranoside	inhibits	Solute carrier organic anion transporter family member 1B3
Zonisamide	inhibits	CA3
ZOSUQUIDAR	inhibits	ATP-dependent translocase ABCB1
Apalutamide	inhibits	AR
Dasatinib	inhibits	ABL1
Paromomycin	inhibits	rpsJ
Dacomitinib	inhibits	ERBB2
Gabexate	inhibits	PRSS1
Saquinavir	inhibits	ABCG2
Mavorixafor	inhibits	CYP1A2
Palbociclib	inhibits	CDK4
Kaempferide	inhibits	Cytochrome P450 1A2
Camostat	inhibits	PRSS1
Lenalidomide	inhibits	CDH5
Fexinidazole	inhibits	CYP2D6
Modafinil	inhibits	SLC6A3
Procaine	inhibits	Cytochrome P450 2D6
Sildenafil	inhibits	CYP2E1
Cariprazine	inhibits	CYP1A2
Ranolazine	inhibits	SLC47A1
Rofecoxib	inhibits	CYP2C8
Larotrectinib	inhibits	NTRK3
4-aminobenzoate	inhibits	Solute carrier organic anion transporter family member 1B1
Fostamatinib	inhibits	CASK
Fingolimod	inhibits	ABCC1
R-406	inhibits	Tyrosine-protein kinase SYK
Yohimbine	inhibits	ADRA2B
Propantheline	inhibits	CHRM1
Sunitinib	inhibits	ABCC4
Nintedanib	inhibits	FLT3
Remibrutinib	inhibits	ABCG2
Plumbagin	inhibits	Cytochrome P450 1A2
Mirtazapine	inhibits	CYP3A4
p,p'-DDE	inhibits	Cytochrome P450 3A4
Oxycodone	inhibits	CACNA1B
Fedratinib	inhibits	JAK2
Gentisic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Triacetin	inhibits	Solute carrier organic anion transporter family member 1B3
Bepridil	inhibits	KCNQ1
Fostamatinib	inhibits	TNK2
Isorhamnetin	inhibits	Cytochrome P450 1B1
Oxtriphylline	inhibits	PDE4A
Isocarboxazid	inhibits	MAOB
Eplerenone	inhibits	CYP11B2
Cannabidiol	inhibits	CNR2
Lamotrigine	inhibits	OPRK1
Canagliflozin	inhibits	ABCB1
Captopril	inhibits	ACE
Difenoxin	inhibits	OPRM1
Diosmin	inhibits	SLCO1B1
OBATOCLAX MESYLATE	inhibits	Bcl-2-like protein 10
Perphenazine	inhibits	DRD1
Selegiline	inhibits	CYP2D6
Atazanavir	inhibits	SLCO1B1
2,4-Diamino-6-hydroxypyrimidine	inhibits	Cytochrome P450 3A4
3-Benzylisothiocyanate	inhibits	Solute carrier organic anion transporter family member 1B3
Isopimpinellin	inhibits	Solute carrier organic anion transporter family member 1B1
Hydrochlorothiazide	inhibits	SLC12A3
Fesoterodine	inhibits	CHRM2
Zolpidem	inhibits	Solute carrier organic anion transporter family member 1B3
Metyrapone	inhibits	CYP3A4
Benzocaine	inhibits	Solute carrier organic anion transporter family member 1B3
Amiodarone	inhibits	CYP1A2
Lenalidomide	inhibits	TNFSF11
Atorvastatin	inhibits	CYP2C19
Rhodinyl acetate	inhibits	Solute carrier organic anion transporter family member 1B3
Sunvozertinib	inhibits	EGFR
Entrectinib	inhibits	ABCB1
Mastic gum	inhibits	Solute carrier organic anion transporter family member 1B3
METYRAPONE	inhibits	Cytochrome P450 11B1, mitochondrial
Flupentixol	inhibits	CHRM1
Valsartan	inhibits	SLCO1B1
Estradiol cypionate	inhibits	SLCO1B1
Rifamycin	inhibits	rpoC
Glyburide	inhibits	SLCO1A2
Ubrogepant	inhibits	SLC22A2
Ifosfamide	inhibits	CYP3A4
Glipizide	inhibits	ABCC8
Safinamide	inhibits	MAOB
Crofelemer	inhibits	ANO1
Rucaparib	inhibits	SLC22A8
2,4-Dimethylquinoline	inhibits	Cytochrome P450 1A2
Taletrectinib	inhibits	NTRK3
Asenapine	inhibits	ADRA2A
Tazemetostat	inhibits	EZH1
Dalfampridine	inhibits	KCNA5
Fostamatinib	inhibits	CDK17
Diclofenac	inhibits	SLCO1C1
Levofloxacin	inhibits	CYP2C9
Phenelzine	inhibits	CYP2C8
Fostamatinib	inhibits	STK10
Ibuprofen	inhibits	Solute carrier organic anion transporter family member 1B3
Xanthoxylin	inhibits	Solute carrier organic anion transporter family member 1B1
Atazanavir	inhibits	CYP3A5
Fostamatinib	inhibits	MARK4
Fostamatinib	inhibits	OXSR1
ONO-2952	inhibits	Translocator protein
Estrone sulfate	inhibits	SLC10A1
Metoprolol	inhibits	ADRB2
Myricetin	inhibits	Cytochrome P450 2C19
Vinblastine	inhibits	CYP2D6
Pirtobrutinib	inhibits	BTK
Chlorprothixene	inhibits	ABCB1
Ethoxyquin	inhibits	Cytochrome P450 2C19
CC-115	inhibits	DNA-dependent protein kinase catalytic subunit
Naloxegol	inhibits	CYP2C19
Brincidofovir	inhibits	CYP2B6
Pipotiazine	inhibits	CYP2D6
5beta-Cholestane	inhibits	Solute carrier organic anion transporter family member 1B3
Cerivastatin	inhibits	CYP2C9
Pacritinib	inhibits	CYP2C19
Zinc sulfate, unspecified form	inhibits	GLRA1
L-glutamine	inhibits	Cytochrome P450 3A4
Epicatechin 3-gallate	inhibits	Solute carrier organic anion transporter family member 1B1
Clopidogrel	inhibits	SLC22A1
3,4,5-Trimethoxycinnamic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Fostamatinib	inhibits	MYO3A
Bosentan	inhibits	ABCB11
Zoliflodacin	inhibits	SLCO1B3
Crizotinib	inhibits	ABCB1
Asunaprevir	inhibits	SLCO1B3
Elexacaftor	inhibits	CYP2C8
17-Hydroxyprogesterone	inhibits	Solute carrier organic anion transporter family member 1B3
2,3-Dihydroxybenzoic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Ethyl linilenate	inhibits	Cytochrome P450 3A4
Scutellarein	inhibits	Cytochrome P450 1B1
APITOLISIB	inhibits	Serine/threonine-protein kinase mTOR
Acetazolamide	inhibits	CA4
Propiverine	inhibits	CHRM2
Peginterferon alfa-2a	inhibits	CYP1A2
Etravirine	inhibits	pol
Vinblastine	inhibits	TUBB2A
Nifedipine	inhibits	CALM1
Methotrexate	inhibits	SLC22A6
Indinavir	inhibits	pol
Orcein	inhibits	Cytochrome P450 2C19
Phenelzine	inhibits	MAOB
Fostamatinib	inhibits	PTK6
Capivasertib	inhibits	SLCO1B3
Fostamatinib	inhibits	KIT
Miglitol	inhibits	MGAM
Regorafenib	inhibits	EPHA2
Theophylline	inhibits	ADORA2B
Lorlatinib	inhibits	CYP3A4
Bosutinib	inhibits	SRC
PIMASERTIB	inhibits	Dual specificity mitogen-activated protein kinase kinase 2
Lomefloxacin	inhibits	parC
Paroxetine	inhibits	CYP2B6
Zonisamide	inhibits	CA10
TEMUTERKIB	inhibits	Mitogen-activated protein kinase; ERK1/ERK2
SETOGEPRAM	inhibits	G-protein coupled receptor 84
Chloroquine	inhibits	GSTA2
Rosiglitazone	inhibits	Cytochrome P450 3A4
Acetylsalicylic acid	inhibits	CASP3
Cobicistat	inhibits	ABCB1
Celiprolol	inhibits	ADRA2B
Topiramate	inhibits	CYP2C19
Flurbiprofen	inhibits	PTGS1
Candesartan cilexetil	inhibits	ABCB1
Gefitinib	inhibits	CYP2C19
Midostaurin	inhibits	PRKCG
Medroxyprogesterone acetate	inhibits	CYP2C9
Dalfampridine	inhibits	KCNC3
Amantadine	inhibits	GRIN3A
Infigratinib	inhibits	SLC22A2
Fostamatinib	inhibits	STK26
Aminophylline	inhibits	PDE3A
Methotrexate	inhibits	PGD
Dronedarone	inhibits	SLC22A2
Amitriptyline	inhibits	ADRA1B
Fostamatinib	inhibits	RIPK1
Ficus Latex peptide 1	inhibits	Solute carrier organic anion transporter family member 1B1
Ruxolitinib	inhibits	TYK2
Isavuconazole	inhibits	ABCG2
Simeprevir	inhibits	SLCO1B1
Naltrexone	inhibits	OPRK1
L-Glutamic acid hydrochloride	inhibits	Cytochrome P450 2D6
Fostamatinib	inhibits	NEK1
Sulfasalazine	inhibits	PTGS2
Secobarbital	inhibits	CHRNA4
Indomethacin	inhibits	PTGS1
Niraparib	inhibits	PARP2
Diphenhydramine	inhibits	SLC22A2
Nelfinavir	inhibits	SLCO1A2
Butabarbital	inhibits	GRIK5
Brincidofovir	inhibits	ABCC2
PIRTOBRUTINIB	inhibits	Tyrosine-protein kinase BTK
Fexinidazole	inhibits	SLC47A2
Fosnetupitant	inhibits	TACR1
Cloxacillin	inhibits	dacA
TOZASERTIB	inhibits	Serine/threonine-protein kinase Aurora
17alpha-ethynylestradiol	inhibits	Solute carrier organic anion transporter family member 1B3
Atorvastatin	inhibits	SLCO1B1
Nonivamide	inhibits	Cytochrome P450 3A4
Pexidartinib	inhibits	CYP3A4
Amiloride	inhibits	SLC22A4
Ticagrelor	inhibits	CYP3A4
Methionine	inhibits	MTHFR
Indomethacin	inhibits	GLO1
Cisplatin	inhibits	BCHE
Enasidenib	inhibits	CYP2C9
Fostamatinib	inhibits	RIPK2
Bepridil	inhibits	CACNA1A
Acetylsalicylic acid	inhibits	AKR1C1
beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
NERATINIB MALEATE	inhibits	Receptor tyrosine-protein kinase erbB-4
AZM-475271	inhibits	Tyrosine-protein kinase ABL1
Revumenib	inhibits	SLC47A1
Haloperidol	inhibits	HTR2C
Verapamil	inhibits	SLC22A4
Isavuconazonium	inhibits	CYP2C9
Dacomitinib	inhibits	ABCB1
Nicardipine	inhibits	CHRM3
Norharman	inhibits	Solute carrier organic anion transporter family member 1B3
Fluoxetine	inhibits	CYP2C19
Brompheniramine	inhibits	HRH1
Selpercatinib	inhibits	ABCB1
Fostamatinib	inhibits	AURKA
Amprenavir	inhibits	CYP2B6
Butabarbital	inhibits	GRIA3
Phenylhydrazine	inhibits	Cytochrome P450 2D6
Dasatinib	inhibits	CYP3A4
Rilpivirine	inhibits	CYP2C9
CANERTINIB DIHYDROCHLORIDE	inhibits	Receptor tyrosine-protein kinase erbB-4
Mycophenolic acid	inhibits	IMPDH1
Azelaic acid	inhibits	SRD5A3
Capivasertib	inhibits	AKT2
Misoprostol	inhibits	PTGIR
Rilpivirine	inhibits	CYP2B6
beta-Caryophyllene	inhibits	Solute carrier organic anion transporter family member 1B1
Progesterone	inhibits	SLC22A2
Progesterone	inhibits	ABCG2
Nilvadipine	inhibits	CACNA2D3
Candesartan cilexetil	inhibits	AGTR1
Hesperetin	inhibits	Cytochrome P450 3A4
Deutivacaftor	inhibits	ABCB5
Ponatinib	inhibits	TEK
Protopine	inhibits	Cytochrome P450 2C19
Brincidofovir	inhibits	CYP4F2
Fostamatinib	inhibits	ROS1
Pseudoephedrine	inhibits	ATF1
PEMETREXED	inhibits	Trifunctional purine biosynthetic protein adenosine-3
Meloxicam	inhibits	PTGS2
Triamterene	inhibits	SCNN1A
Rifamycin	inhibits	ABCB1
Amoxapine	inhibits	DRD4
Dordaviprone	inhibits	SLC22A8
Butabarbital	inhibits	GRIK2
Fostamatinib	inhibits	HCK
Iloperidone	inhibits	ADRA2B
Suzetrigine	inhibits	CYP2C9
Maprotiline	inhibits	CHRM5
Lignans	inhibits	Solute carrier organic anion transporter family member 1B3
Clozapine	inhibits	DRD4
Safrole	inhibits	Solute carrier organic anion transporter family member 1B1
Xanthurenic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Conjugated estrogens	inhibits	CYP1A2
Fisetin	inhibits	Solute carrier organic anion transporter family member 1B1
2-Amino-4-hydroxy-6-pteridinecarboxylic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Latex	inhibits	Solute carrier organic anion transporter family member 1B3
Benzyl benzoate	inhibits	Solute carrier organic anion transporter family member 1B1
Cimetidine	inhibits	SLC22A1
Umbralisib	inhibits	ABCB1
ITX-5061	inhibits	Mitogen-activated protein kinase 14
Phellopterin	inhibits	Cytochrome P450 2D6
Cisapride	inhibits	CYP2C19
Quinethazone	inhibits	SLC12A3
Lisinopril	inhibits	SLC15A1
Rhapontin	inhibits	Solute carrier organic anion transporter family member 1B1
Amlodipine	inhibits	ABCB1
Pseudoephedrine	inhibits	IL2
Fostamatinib	inhibits	MAPK10
Bosutinib	inhibits	CYP2C8
Taletrectinib	inhibits	SLC47A2
Haloperidol	inhibits	ADRA2A
VALSPODAR	inhibits	ATP-dependent translocase ABCB1
Chrysoeriol	inhibits	Cytochrome P450 1A2
Fostamatinib	inhibits	ADORA3
Aprepitant	inhibits	CYP2C9
Fleroxacin	inhibits	gyrA
3-Methylxanthine	inhibits	Solute carrier organic anion transporter family member 1B3
Diclofenac	inhibits	SLC22A6
(-)-Gossypol	inhibits	Solute carrier organic anion transporter family member 1B1
Fostamatinib	inhibits	CDKL1
Tipranavir	inhibits	SLCO1B3
Pizotifen	inhibits	HTR2B
Chlorthalidone	inhibits	SLC12A1
Chlorpheniramine	inhibits	SLC6A4
Methotrimeprazine	inhibits	CYP2D6
Luteolin 7-(caffeoylglucoside)	inhibits	Cytochrome P450 1A1
Antipyrine	inhibits	PTGS1
Fruquintinib	inhibits	FLT4
Ketamine	inhibits	SLC6A2
Capivasertib	inhibits	SLCO1B1
Flucloxacillin	inhibits	pbpA
Lenvatinib	inhibits	CYP2D6
CAPIVASERTIB	inhibits	Serine/threonine-protein kinase AKT
AZD-7624	inhibits	Mitogen-activated protein kinase 14
Paliperidone	inhibits	HTR2C
Glyburide	inhibits	ABCB1
Pilocarpine	inhibits	CYP3A4
Fostamatinib	inhibits	TLK1
Alexomycin	inhibits	Solute carrier organic anion transporter family member 1B3
Amitriptyline	inhibits	HTR7
Verapamil	inhibits	KCNJ11
Stiripentol	inhibits	ABCG2
Dasatinib	inhibits	BTK
Givinostat	inhibits	SLC22A2
Gemfibrozil	inhibits	SLCO1B1
Emodin	inhibits	Cytochrome P450 2C19
Silodosin	inhibits	ADRA1A
Estradiol valerate	inhibits	SLCO1B1
Itraconazole	inhibits	ABCG2
Flavin adenine dinucleotide	inhibits	NOS1
Acetaminophen	inhibits	Cytochrome P450 2D6
