new_id,name,smiles
390,Naringin,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
391,(+-)-Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
393,Vitis Vinifera Leaves Polyphenolic,
394,Thymoquinone,CC1=CC(=O)C(=CC1=O)C(C)C
395,T. Cacao,
396,Theobroma Cacao,
397,Rhodiola,
398,Silydianin,COC1=C(C=CC(=C1)C2C3COC4(C3C(=CC2C4=O)C5C(C(=O)C6=C(C=C(C=C6O5)O)O)O)O)O
399,Silybin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
400,Isosilybin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=CC(=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
401,Silychristin,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O
404,Xuesaitong,
406,Berberis Vulgaris,
410,Panax Ginseng C.A. Meyer,
411,Glycyrrhizic Acid,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
414,Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
415,Polysaccharide Of Spirulina Platensis,
421,Multivitamin,
423,Piper Longum L.,
425,Garcinia Mangostana,
426,Glycyrrhiza Glabra Fabaceae,
427,Red Spinach,
428,Olive,
429,Palm,CC1=CC(=CC(=C1Cl)C)O
430,Red Ginseng,
431,Mentha Spicata,
432,Panax Quinquefolius,
434,Punica Granatum,
436,Camellia Sinensis,
437,Vicia Faba,
438,Thymus Vulgaris,
440,10-Gingerol,CCCCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
445,Crocus Sativus,
448,Salvia Miltiorrhiza,
449,Citrus Unshiu,
451,Glycyrrhetinic Acid,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
454,Crocin,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O
455,Salvia,
456,Vitis Vinifera,
457,Whole-Grain Cereal,
459,Grapes,
461,Schisandra,
462,Vaccinium Macrocarpon,
464,Legume,
465,Gamma-Mangostin,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CC=C(C)C)O)C
469,Vitamin K,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
470,Alcohol,CCO
471,Calcium-Rich Foods,
474,Iron Supplements,
475,High-Fat Foods,
476,Natural Licorice,
477,Potassium-Rich Foods,
478,Vitamin B6 (Pyridoxine),
479,Calcium Supplements,
481,Avidin (Raw Egg White),
482,Citrus,CC(C)C12CCC(=C)C1C2
483,Flavonoid-Rich Foods,
484,Ephedra,
485,High-Salt Foods,
486,Niacin (Vitamin B3),
488,High-Fiber Foods,
489,Xanthines,
490,Vitamin A,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
491,Vitamin A Supplements,
492,Iodine,II
493,Goitrogenic Foods,
494,Soy/Soybean,
495,Aged Cheese,
496,Tyramine-Containing Foods,
498,Fava Beans,
499,Histamine-Containing Foods,
500,Pickled Foods,
501,Iodine-Containing Foods,
502,Seville Orange,
503,Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
504,Folic Acid/Folate,
505,Vitamin B12,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
506,Vitamin K-Rich Foods,
509,Glucose,C(C1C(C(C(C(O1)O)O)O)O)O
512,Arginine,C(CC(C(=O)O)N)CN=C(N)N
529,Lactose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
534,Glutamic Acid,C(CC(=O)O)C(C(=O)O)N
540,Maltose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
552,Mannan,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O
569,Ursolic Acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
718,Carotene,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C
719,Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
720,Dopamine,C1=CC(=C(C=C1CCN)O)O
721,Bilirubin,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C
722,Serotonin,C1=CC2=C(C=C1O)C(=CN2)CCN
723,Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
725,Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
727,Estrogen,CC#CC1(CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C)O
728,Creatinine,CN1CC(=O)N=C1N
730,Aldosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O
731,Xanthine,C1=NC2=C(N1)C(=O)NC(=O)N2
732,Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
733,Uric Acid,C12=C(NC(=O)N1)NC(=O)NC2=O
734,Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
736,Vasopressin,
737,H+,[H+]
738,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
740,Rhamnetin,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O
741,Trimethylamine,CN(C)C
742,Cortisol,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
743,Cortisone,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C
744,Chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
745,Superoxide,[O-][O]
746,Isoeugenol,CC=CC1=CC(=C(C=C1)O)OC
747,Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
748,Petunidin,COC1=CC(=CC(=C1O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-]
750,Epigallocatechin-3-Gallate,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
