head,relation,tail,weight,source,head_type,tail_type
"3,4-Dimethoxybenzoic acid",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Lisinopril,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Lisinopril,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Azelaic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Azelaic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Benzyl benzoate,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Benzyl benzoate,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Estriol,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Estriol,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Medroxyprogesterone,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
"p,p'-DDE",inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
"p,p'-DDE",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
"p,p'-DDE",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Latex,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Latex,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Latex,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline",inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
"6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline",inhibits,ATP-dependent translocase ABCB1,1.0,chembl36,COMPOUND,TARGET
