head,relation,tail,weight,source,head_type,tail_type
Methionine,binds,BHMT2,1.0,drugbank,DRUG,TARGET
Methionine,inhibits,GLUL,1.0,drugbank,DRUG,TARGET
Methionine,inhibits,MTHFR,1.0,drugbank,DRUG,TARGET
Methionine,binds,MTRR,1.0,drugbank,DRUG,TARGET
Methionine,binds,MTR,1.0,drugbank,DRUG,TARGET
Methionine,binds,METAP2,1.0,drugbank,DRUG,TARGET
Methionine,binds,BHMT,1.0,drugbank,DRUG,TARGET
Methionine,inhibits,SLC16A10,1.0,drugbank,DRUG,TARGET
Lutein,binds,ALB,1.0,drugbank,DRUG,TARGET
Calcifediol,substrate_of,CYP27B1,1.0,drugbank,DRUG,TARGET
Calcifediol,substrate_of,CYP24A1,1.0,drugbank,DRUG,TARGET
Calcifediol,activates,VDR,1.0,drugbank,DRUG,TARGET
Vitamin E,inhibits,GSTP1,1.0,drugbank,DRUG,TARGET
Vitamin E,inhibits,GSTO1,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,GSTM3,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,GCLC,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,NQO1,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,HMOX1,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,SOD1,1.0,drugbank,DRUG,TARGET
Vitamin E,substrate_of,CYP3A4,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,CYP3A4,1.0,drugbank,DRUG,TARGET
Vitamin E,induces,GSTA2,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,SEC14L4,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,SEC14L3,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,SEC14L2,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,NR1I2,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,PRKCB,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,ALOX5,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,PRKCA,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,DGKA,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,PPP2CB,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,PPP2CA,1.0,drugbank,DRUG,TARGET
Vitamin E,substrate_of,SCARB1,1.0,drugbank,DRUG,TARGET
Vitamin E,substrate_of,ABCA1,1.0,drugbank,DRUG,TARGET
Vitamin E,substrate_of,NPC1L1,1.0,drugbank,DRUG,TARGET
Vitamin E,substrate_of,ABCG1,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,PLTP,1.0,drugbank,DRUG,TARGET
Vitamin E,binds,TTPA,1.0,drugbank,DRUG,TARGET
Pravastatin,inhibits,HMGCR,1.0,drugbank,DRUG,TARGET
Pravastatin,inhibits,HDAC2,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLCO1B1,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLCO2B1,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,ABCB1,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLCO1A2,1.0,drugbank,DRUG,TARGET
Pravastatin,inhibits,SLC22A6,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLC22A8,1.0,drugbank,DRUG,TARGET
Pravastatin,inhibits,SLC22A8,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,ABCC2,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLC22A11,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,ABCG2,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLC22A7,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLC16A1,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,ABCB11,1.0,drugbank,DRUG,TARGET
Pravastatin,substrate_of,SLCO1B3,1.0,drugbank,DRUG,TARGET
Fluvoxamine,substrate_of,CYP2D6,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP2D6,1.0,drugbank,DRUG,TARGET
Fluvoxamine,substrate_of,CYP1A2,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP1A1,1.0,drugbank,DRUG,TARGET
Fluvoxamine,substrate_of,CYP3A4,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP3A4,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP2C9,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP2C19,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,CYP2B6,1.0,drugbank,DRUG,TARGET
